SampleName,SampleID
D21_M1,LIPNEG16JULY_43.wiff 
D21_M2,LIPNEG16JULY_44.wiff 
D21_M23,LIPNEG16JULY_45.wiff 
D7_M13,LIPNEG16JULY_46.wiff 
D21_M8,LIPNEG16JULY_47.wiff 
M27,LIPNEG16JULY_48.wiff 
D21_M19,LIPNEG16JULY_49.wiff 
D21_M22,LIPNEG16JULY_50.wiff 
D7_M11,LIPNEG16JULY_51.wiff 
D21_M27,LIPNEG16JULY_52.wiff 
D7_M3,LIPNEG16JULY_53.wiff 
D21_M20,LIPNEG16JULY_54.wiff 
D35_M22,LIPNEG16JULY_55.wiff 
D35_M10,LIPNEG16JULY_56.wiff 
D35_M11,LIPNEG16JULY_57.wiff 
D35_M20,LIPNEG16JULY_58.wiff 
D35_M3,LIPNEG16JULY_59.wiff 
D7_M2,LIPNEG16JULY_60.wiff 
D35_M24,LIPNEG16JULY_61.wiff 
M16,LIPNEG16JULY_62.wiff 
D7_M26,LIPNEG16JULY_63.wiff 
D21_M12,LIPNEG16JULY_64.wiff 
M23,LIPNEG16JULY_65.wiff 
D35_M21,LIPNEG16JULY_66.wiff 
D35_M27,LIPNEG16JULY_67.wiff 
D21_M18,LIPNEG16JULY_68.wiff 
D7_M24,LIPNEG16JULY_69.wiff 
D7_M15,LIPNEG16JULY_70.wiff 
M26,LIPNEG16JULY_71.wiff 
D35_M26,LIPNEG16JULY_72.wiff 
D35_M5,LIPNEG16JULY_73.wiff 
D7_M22,LIPNEG16JULY_74.wiff 
M10,LIPNEG16JULY_75.wiff 
M8,LIPNEG16JULY_76.wiff 
M2,LIPNEG16JULY_77.wiff 
D21_M11,LIPNEG16JULY_78.wiff 
M12,LIPNEG16JULY_79.wiff 
D21_M13,LIPNEG16JULY_80.wiff 
M1_D7,LIPNEG16JULY_81.wiff 
D35_M15,LIPNEG16JULY_82.wiff 
D21_M4,LIPNEG16JULY_83.wiff 
D7_M4,LIPNEG16JULY_84.wiff 
D35_M7,LIPNEG16JULY_85.wiff 
D35_M25,LIPNEG16JULY_86.wiff 
D21_M25,LIPNEG16JULY_87.wiff 
D7_M5,LIPNEG16JULY_88.wiff 
M24,LIPNEG16JULY_89.wiff 
M7,LIPNEG16JULY_90.wiff 
D35_M8,LIPNEG16JULY_91.wiff 
M6,LIPNEG16JULY_92.wiff 
D21_M16,LIPNEG16JULY_93.wiff 
M18,LIPNEG16JULY_94.wiff 
