"id"	"treatment"	"Pyruvic acid"	"L-Alanine"	"L-Lactic acid"	"2-Ketobutyric acid"	"Acetoacetic acid"	"3-Hydroxybutyric acid"	"L-Serine"	"Glyceric acid"	"Uracil"	"L-Proline"	"Maleic acid"	"Fumaric acid"	"Alpha-ketoisovaleric acid"	"Succinic acid"	"L-Homoserine"	"L-Cysteine"	"Nicotinic acid"	"Taurine"	"Pyroglutamic acid"	"Pipecolic acid"	"Citraconic acid"	"Ketoleucine"	"Hydroxyproline"	"L-Asparagine"	"Ornithine"	"L-Malic acid"	"Homocysteine"	"2-Aminobenzoic acid"	"Acetylphosphate"	"Oxoglutaric acid"	"L-Glutamine"	"L-Lysine"	"2-Oxo-4-methylthiobutanoic acid"	"L-Methionine"	"D-Ribose"	"Xanthine"	"p-Hydroxyphenylacetic acid"	"2,3-Dihydroxybenzoic acid"	"L-Histidine"	"Indole-3-carboxylic acid"	"Phenylpyruvic acid"	"L-Phenylalanine"	"Phenyllactic acid"	"Quinolinic acid"	"Phosphoenolpyruvic acid"	"Uric acid"	"Dihydroxyacetone phosphate"	"Glyceraldehyde 3-phosphate"	"Glycerol 3-phosphate"	"cis-Aconitic acid"	"N-Acetylornithine"	"L-Arginine"	"N-Acetyl-L-aspartic acid"	"Citrulline"	"Ascorbic acid"	"Ureidosuccinic acid"	"Allantoic acid"	"2-Isopropylmalic acid"	"Gluconolactone"	"4-Hydroxyphenylpyruvic acid"	"D-Glucose"	"4-Pyridoxic acid"	"DL-O-Phosphoserine"	"3-Phosphoglyceric acid"	"N-Alpha-acetyllysine"	"Kynurenic acid"	"N-Acetylglutamic acid"	"Isocitrate"	"2-Keto-L-gluconate"	"D-Erythrose 4-phosphate"	"L-Tryptophan"	"Xanthurenic acid"	"Glucaric acid"	"Deoxyribose 1-phosphate"	"Pantothenic acid"	"L-Cystathionine"	"Deoxyuridine"	"D-Ribulose 5-phosphate"	"D-Ribose 5-phosphate"	"Uridine"	"Glucosamine 6-phosphate"	"D-Glucose 1,6-bisphosphate"	"Fructose 6-phosphate"	"Inosine"	"6-Phosphogluconic acid"	"Pantetheine"	"Xanthosine"	"5'-Methylthioadenosine"	"D-4'-Phosphopantothenate"	"dCMP"	"Glutathione"	"5-Thymidylic acid"	"Cytidine monophosphate"	"Uridine 5'-monophosphate"	"Cyclic AMP"	"Deoxyadenosine monophosphate"	"Fructose 1,6-bisphosphate"	"Sucrose"	"Adenosine monophosphate"	"Inosinic acid"	"Guanosine monophosphate"	"Xanthosine 5'-phosphate"	"Sedoheptulose 1,7-bisphosphate"	"Riboflavin"	"S-Adenosylhomocysteine"	"CDP"	"Uridine 5'-diphosphate"	"Trehalose 6-phosphate"	"ADP"	"Guanosine diphosphate"	"CDP-Ethanolamine"	"Flavin Mononucleotide"	"5-Methyltetrahydrofolic acid"	"Uridine triphosphate"	"Citicoline"	"Uridine diphosphate glucose"	"Uridine diphosphate glucuronic acid"	"ADP-glucose"	"Uridine diphosphate-N-acetylglucosamine"	"Glutathione disulfide"	"FAD"
"15-02-M23_tumor"	"Treatment"	-1.73002417049306	0.292458707369454	0.131364971412701	-1.27708421704104	-1.48535758240016	-1.36227436981523	-0.0236138300456273	-0.376606458364251	-0.864270122499514	0.896041632059606	1.15157370508319	1.28354169094705	-1.14779448046857	-1.19178599679035	-0.557025169793426	-0.446353260368454	0.37766576347702	0.684218114590843	4.86593057951464	-2.16945640834286	-0.938734672920572	-0.975534689931963	-1.0042760517908	0.684755813040163	2.00355508436616	1.47108757493243	-1.71488264132175	-1.07171748196012	-0.948004774214979	-1.6698082499303	-1.22266977632934	1.01462203252508	0.613790464562398	0.792040850773126	-2.64193935084832	2.18382348583941	-0.749329874627976	-0.296029309300727	1.32497749883863	-2.00281589518544	-0.0654896715818442	1.57537176485864	-0.60215299640587	-3.88741386661789	-0.53364978418225	-3.56246031749231	1.1144640572576	-0.0668919772691065	-0.110269373455145	-0.931981657005232	-0.463465892792351	-0.749280141950276	1.89938831983143	-1.61282251469622	-1.92247406918693	1.09436414463843	-1.87449550270484	-1.10511620436496	-0.196054834089273	-0.464294988594033	-2.99947902323062	-0.385552236077275	-2.26720544938155	-0.74583012945579	0.350504366372558	-1.82887541004479	1.79793380996876	-0.705744697740636	-0.686502818804417	-0.712313093631063	-0.922977895304911	-2.40531374238218	-2.91872794925339	0.89337112819802	2.2566912679431	-1.97655436343579	-0.306057710243969	1.33216669363511	2.56449827777407	-1.93646614653205	1.50068898986936	2.23437163948791	2.51943372545023	-2.51939803617891	-3.40612429586802	3.86889799240778	1.64793402686185	0.199089012556436	3.0807191557893	2.8232741623022	3.29915059037798	2.23185057553301	-0.405417857603799	-0.776386152943381	-1.2497019880582	2.3643417299277	1.66618784357535	-1.81340690058987	-1.36886878171318	-4.24123254661098	-1.8188026558693	-5.10448603211605	0.750158780904399	1.03836675073311	0.243708740667401	-0.344409364045014	-0.39297099995654	-1.50252653905441	0.803584318869365	-4.05087020650686	2.88045316009892	1.20407974445863	0.282456700124977	-2.65721294086857	1.41790196313613	3.12432783687554	2.37721849844082	1.63278080075313	2.78122621703294	2.67853832794098	2.05054652768853
"15-02-M26_tumor"	"Treatment"	-2.60720475319433	0.150901298214331	0.131364971412701	-1.51355418397085	-1.5480656935694	-1.82346008657858	-1.16106922419986	-1.55548356303011	-3.10333543400984	0.424485308579114	1.95680481529999	0.509431145719032	-2.46672445490119	-1.92851068842312	-0.657156341806956	-0.504208013689166	-0.604081793086148	0.684218114590843	3.10785620004544	-3.20706079756675	-1.69897111235795	-1.73413993473737	-1.51308371917076	-0.301088488947569	-0.827378233237188	1.47108757493243	-3.22722873045069	-3.22038121169338	-1.02982537386058	-2.34524729618195	-1.88713385371872	-0.106004350370084	-1.40711197528419	-0.452235146158674	-2.69297190393325	2.18382348583941	-2.52904972301143	-2.73398144710094	0.572222064811999	-2.94791758804904	-2.48413773093753	0.858541269581766	-0.996754042234851	-2.72746150422362	0.773953413571042	1.48443069416293	2.63527937588463	1.36399003252396	0.531654629821936	-1.62608671352018	-4.08869759128181	-1.49289365737604	1.59030400763426	-1.7991587893665	3.66668943979877	2.62152586005313	-2.75488151652919	-2.50818446501265	-3.51091539636347	-2.82868737258776	-3.45749167374891	-2.45052078459634	-0.825686443966313	1.65217346399704	-2.26240197931321	-2.28731037470127	0.267251489115278	0.416331125123311	-0.399787156969099	0.469730814216072	-2.00201230889228	-2.6909014306448	-1.55157843217519	1.99824538698155	1.65066351169607	-0.155186281599242	-2.03744923868598	1.73326452986362	1.18966360194804	-2.45747049188037	0.52330993253261	2.61666881658698	2.51943372545023	-3.96422372794908	1.21368802066067	2.39157722587748	0.101451001510751	-4.01363301949405	1.12633182527374	2.1113989148527	2.83422286426976	2.57855982418878	2.203870900416	-0.0640245569075978	-2.10111167501488	2.25702261698353	3.89973285553318	-2.24151551406806	-0.652028909317398	3.89528524432558	1.86602990456157	1.89572226746124	3.63598319689935	-1.27525509815528	-1.07745954827999	0.914972473384911	3.84427675004536	-1.50252653905441	3.30955844786698	0.973221667523795	2.48539647282675	1.91061855822614	-0.524829866257656	-1.69504738102502	1.03838364235162	3.27027820444367	3.70688520724318	2.538145827967	3.19851335543715	2.73303662569203	1.88200936639087
"15-02-M2_tumor"	"Control"	-2.43502948756315	-0.357532749901955	0.131364971412701	-2.7762600286308	-1.48535758240016	-3.27656962223615	-1.16106922419986	-1.34602984582939	-3.4666997048475	0.114912067431663	1.37370752323307	1.4090804947074	-2.92412458673454	-2.09226670508285	-1.07297372285714	0.480092550813032	0.227582810866652	0.684218114590843	-0.858909820801143	-1.12838233716753	-1.58040087910911	-1.92053478678257	-1.0042760517908	-0.0763563050193894	0.175255486712904	1.47108757493243	-1.90301011691742	-2.6695284156506	-1.20729557732397	-2.44330223434379	-1.79574905569718	-0.256760456876795	-1.40711197528419	-0.161979591858375	-2.8681206450261	2.18382348583941	-3.61535058356468	-3.30573935490096	0.857268245599543	-2.5904668904257	-3.11117148147827	0.575864487496508	-1.9622045845096	0.810218835050811	-1.52685548635877	1.48443069416293	2.43424521434173	1.11135392662537	1.48463167478212	-0.931981657005232	-2.22502436407291	-1.02616875271982	1.44207124311603	-2.31697065607294	4.30442398633398	2.83474954355379	-1.715610829885	-2.01627110352511	-2.74499831855113	-3.47191676130061	-2.56887917690217	-2.60037090236641	-0.176443583780661	2.03280396476045	-1.49518464734616	-2.83142158678133	-0.290605611181778	0.416331125123311	-0.076407315710877	-0.433957044972166	-1.4032061780571	-2.6909014306448	-0.494909247830455	2.09060731719122	1.00411018133481	-4.45538641742794	-2.11552870562042	2.32986170965301	1.04941520582378	-1.65224687522291	-0.550519731281487	2.32405674774632	2.23558569083744	-3.45439649760162	0.757111545237092	0.861570426371983	-0.338262456583697	-0.816830896558394	0.507440255572245	2.59945092499385	2.7027799624268	2.92712792225099	2.29500310967273	0.370403468121455	-1.2497019880582	2.70487853759444	3.48284907521753	-3.37565429689987	0.164881252784021	4.02006636190923	2.36305513354758	3.47049162582727	3.3182733003438	-1.85522768363661	-0.240222917524251	0.705192446908064	3.20275187160237	-2.35327260835787	3.11026458373014	-0.311413100891633	2.59220379674806	1.20407974445863	-0.331428830700967	-3.13958796250546	1.72080645374601	3.45230196000272	3.40441955470992	2.4406653938501	3.24871711517333	2.67853832794098	1.15448847338195
"15-02-M24_tumor"	"Treatment"	-2.33242995384393	0.292458707369454	0.131364971412701	-2.21529483379926	-1.0914545090528	-2.28318333199393	-0.550236692958414	-0.862531629588748	-3.4666997048475	0.57801728534977	1.68511564626566	1.57659184665927	-2.46672445490119	-2.24820703188822	-0.557025169793426	0.480092550813032	0.37766576347702	0.684218114590843	-0.277122399856979	-0.852802715282373	-1.58040087910911	-1.37826110405705	-0.148149286571671	0.429350949888711	0.725410937525522	1.47108757493243	-1.90301011691742	-2.43201845534146	-2.14894097292195	-1.82218918217742	-1.79574905569718	0.0191627117457481	-0.372969145427427	-0.962449324767576	-2.75578108270484	2.02563125870163	-1.33979740634188	-2.92967465507714	1.45726509084663	-2.05840732776725	-1.92668000954043	0.858541269581766	-0.394228098547906	-0.868707710449164	-1.52685548635877	1.66481793328507	3.29885148419202	2.46803066629954	-0.45499284913123	-0.654666801198167	-0.914727473536081	-2.33877068226657	1.44207124311603	-1.61282251469622	3.54766247972055	1.74677455940274	-1.16092369557674	-1.45628519102853	-1.06963704607831	-2.71794067637328	-3.62518425044062	-2.13667700031186	-1.44799170683273	0.401746718337541	-2.8708545087487	-2.76967647054743	-0.104959302764312	0.598845818567243	-0.178814855605517	-0.712313093631063	-1.20517528997211	-1.54470000996147	-0.494909247830455	2.17919767071366	1.20112194486604	-1.62364745864312	0.434736745613345	1.73326452986362	1.80985882097828	-1.65224687522291	-1.14056667446949	2.69108203011329	2.23558569083744	-3.96422372794908	-1.82906835746561	2.15606439392189	0.358587348160724	0.486311666278171	0.798765027370922	2.75861495094182	2.91633723432713	3.3189855562925	0.641063096864018	-1.60514719317986	-1.59017471129157	2.96521042165524	2.73985099256295	-3.05392541502901	0.258672913369276	0.141009542498759	1.03068584915971	-0.13387268533884	2.75983719518685	-0.855655472179058	0.243708740667401	-3.34892097458619	1.80214283583115	-1.50252653905441	1.88372461807475	-1.14101715729889	2.48539647282675	-0.671738476750313	-0.878813180987075	-3.29904194843671	1.62081432750231	3.12432783687554	2.66594277277872	1.72024995266062	3.30017686349039	2.73303662569203	1.47072279554605
"15-02-M6_tumor"	"Control"	-1.27674872829878	0.88411476602277	0.131364971412701	-2.38297293495261	-1.36935014636551	-1.5816216208856	-0.409750950647439	-1.64387088793745	-3.10333543400984	0.761203206910405	1.68511564626566	1.75249882532784	-2.08317587972781	-2.24820703188822	-0.473447257411639	0.480092550813032	0.10179512916307	0.684218114590843	-0.798745393685259	-0.408423552908924	-3.15058477649474	-1.92053478678257	-1.0042760517908	0.935834071569259	1.8822982769407	1.47108757493243	-2.24057919604929	-1.4617565413096	-1.135351781256	-2.24002404686817	-1.13827682850982	1.01462203252508	-5.80442361633434	1.77682125399781	-2.75578108270484	2.18382348583941	-1.69516287147137	-2.65493249848241	1.61202016467597	-3.04363064892467	-2.02074104415699	1.15698508925455	-1.59835971422978	1.86558368067758	-2.3057947765687	1.13018706322301	0.938517198216569	-0.604191275848809	0.391138701737305	-1.34339522719958	-1.41981291879822	-0.403115803617405	1.59030400763426	-2.06770637156935	4.30442398633398	1.65249543192446	-1.81534571976817	-1.81367607039744	-2.56190039214927	-3.23398896256129	-2.16597719775591	-2.13667700031186	-1.66687004940162	1.96499645441045	0.15775721037048	-3.48496754177893	-1.08009068086332	0.416331125123311	-0.806192170973217	-1.19603617741328	-1.20517528997211	-0.932528906228583	0.647268235938303	1.20052974072255	0.388219608080057	-1.3467117709084	-0.225919753155579	0.904796693311615	1.04941520582378	-0.773651904928888	1.57064324622667	2.46608955132879	2.16254502802252	-3.45439649760162	0.066200755912103	3.26019573318629	-0.1755529034294	-1.74555238252449	0.798765027370922	2.75861495094182	3.13060983752978	0.459889697881118	0.537245451450835	-0.631971207250329	-1.14982836528739	1.78586385043128	2.61064510558546	-4.08490720856909	-0.73135957504554	0.454762112259396	0.82106460008527	-0.548222713291045	2.65296547004306	0.774680405884012	0.32637028117516	-0.538377670601693	2.0307530176006	0.134625645300241	2.21840429284041	-1.60793865822371	2.53425701049969	0.730722204558347	0.521039373657937	-3.13958796250546	1.33501500684493	3.17397213095322	2.7894906542056	2.23719890444377	3.24871711517333	2.48983236283825	0.501815398965129
"15-02-M21_tumor"	"Treatment"	-2.33242995384393	-0.017803604625291	0.131364971412701	-0.552883437584197	-2.18013543948863	-1.74964453431007	-0.820830244685684	-1.25563496294693	-3.10333543400984	0.251247565229022	1.37370752323307	0.509431145719032	-2.66527633895689	-1.92851068842312	-0.557025169793426	-0.446353260368454	1.24780321008209	0.684218114590843	3.30026428803039	-2.55056562581977	-1.69897111235795	-1.92053478678257	-1.39310351757839	-0.409300477826644	0.40756315229203	1.47108757493243	-2.74487586161305	-3.35898060297997	-1.89586183464394	-2.62338543388619	-1.95905231495266	-0.533418791973429	-2.39318795435561	-0.317328360726146	-3.11066269880421	1.83350138113358	-1.33979740634188	-3.30573935490096	1.09081954557756	-2.51240301435311	-3.2260803154753	0.858541269581766	-1.9622045845096	-0.677878095109766	1.2505640109009	1.48443069416293	2.43424521434173	0.0512727288501914	0.817276778717261	-0.931981657005232	-1.8978910343961	-2.76983733400757	0.425553255556003	-1.98536972504653	4.46142751544022	2.27409775387922	-1.59918704207261	-2.18059171987667	-3.59457270644603	-3.47191676130061	-2.71090151517268	-2.45052078459634	0.156397832418069	2.23837226948996	-2.74126520639297	-2.76967647054743	-0.483584066694176	0.598845818567243	-0.806192170973217	-0.0207307602198451	-1.4032061780571	-2.95977690727838	1.12283893557776	1.99824538698155	1.20112194486604	-0.801351399438582	-2.03744923868598	1.90652000398613	0.937390923467126	-1.32313412698148	-0.214299343118588	2.52954050529496	2.32169505630509	-3.45439649760162	-0.577701184957349	1.34213334955175	1.29836265759639	-2.15217632840157	1.52819744423163	1.72366307792969	2.25159308934899	2.72975223065513	1.95383726697261	-0.631971207250329	-1.70934062871139	2.3643417299277	3.75634660161055	-2.33936944270938	0.258672913369276	2.56818488692025	2.81243904220651	3.13479354957068	3.63598319689935	-1.85522768363661	-0.333018138375495	-0.220398449418362	3.46581238884748	-2.85135089335415	2.91766363927475	1.97537009227277	2.81959445581132	1.34565895100182	-0.524829866257656	-3.13958796250546	0.958428509272558	3.22153026727208	3.00338703027169	2.0923308800313	2.9734355727545	2.99748484415512	1.63742248267102
"15-02-M3_tumor"	"Control"	-2.23464098900444	-0.017803604625291	0.131364971412701	-1.27708421704104	-1.88723306870852	-1.36227436981523	-0.550236692958414	-1.34602984582939	-2.11899720522112	0.896041632059606	1.68511564626566	0.399707427644041	-2.86094012926473	-2.24820703188822	-0.473447257411639	2.44702156512063	0.37766576347702	0.684218114590843	-0.200347158766175	-1.57331578687018	-1.82209981648047	-2.02562122098002	-0.403987962534012	0.126538307637069	-0.145846251540191	1.47108757493243	-0.910964933028755	-2.79947327890564	-2.35845757826544	-3.35736231808905	-1.46509131077791	0.864050228921335	-1.46919176013348	0.457875220666258	-2.34606929716308	2.02563125870163	-1.69516287147137	-4.67785512696328	1.21276701685471	-2.5904668904257	-3.36194913192386	1.15698508925455	-2.05959212687745	0.711525008764076	-1.68280824195286	1.13018706322301	2.92137974886684	1.11135392662537	0.98872500446856	-1.91655195249064	-2.45619550830248	-0.662277935092519	1.18705865276024	-1.8994331113952	4.30442398633398	1.89547393057897	-0.455816592338182	-3.2325267477868	-3.51091539636347	-2.76750404613957	-2.38486585471891	-2.81806176357117	0.947424983277649	-0.0615623225666787	-1.59057287135535	-3.01462346978215	-0.791088795582257	0.598845818567243	0.112433044496161	-1.00289080564866	-1.20517528997211	-2.40531374238218	1.12283893557776	1.99824538698155	0.503195186567717	-1.41652044903844	-1.57367660886501	1.90652000398613	-0.39627966084754	-1.26228499962814	2.33588394498633	2.8440250035753	2.97618477011828	-2.84473966683603	1.61920771341469	0.52624847072193	-0.0454234426926909	-4.79465325657882	0.988131539071977	3.84342463860299	2.08766135824269	-0.040816027083559	0.537245451450835	-2.6599206105423	-1.85540778891282	3.03948686862163	3.98878743318504	-3.46180227831577	0.76049542067863	-3.96886059763377	-0.900096063547571	-0.548222713291045	4.1079564343468	0.619767138205861	0.00958191335932606	1.34585330017671	3.70074343333628	-1.50252653905441	1.54012544606739	2.32443165148401	2.48539647282675	1.84006125129137	-0.524829866257656	1.44072815667436	1.62081432750231	3.38986197849611	3.1351975898233	2.62096644618518	2.91647909876571	2.22555554665252	-0.0464116965832563
"15-02-M4_tumor"	"Control"	-0.486781059514271	0.440278201295888	0.131364971412701	-1.96703938782166	-0.691895724391562	-0.926795744544925	-0.267542234710991	0.275576858117075	-1.47280757443188	1.05131168223417	1.68511564626566	1.57659184665927	-1.14779448046857	-1.19178599679035	-0.473447257411639	-1.1196453392733	1.87040587967889	0.684218114590843	-0.277122399856979	-0.93868479258753	-0.938734672920572	-0.605989862704506	0.287401736109106	-0.409300477826644	0.0701015338287766	1.47108757493243	-1.10109909340303	-1.39927853841548	-1.79483526778624	-1.49331116591555	-1.95905231495266	0.131771908682453	-1.11957811041585	-0.452235146158674	-2.8681206450261	2.18382348583941	-1.79577129354627	-2.41246567962741	0.572222064811999	-1.36413766087896	-2.48413773093753	0.858541269581766	-0.60215299640587	0.304975449596627	-0.53364978418225	-2.39229132398963	2.75595261654624	1.68071395631768	2.48304102262925	-0.519190016177472	-2.59097874932463	-3.10342415667868	0.425553255556003	-1.70358601436731	-3.04728070237726	2.20337563515909	-0.948865154196248	-0.503903682176895	-0.751021035854264	-2.10798753641017	-2.38486585471891	-0.853911461418232	0.728033057265724	0.767390524973364	-2.443405305836	-1.9654997623246	-0.104959302764312	0.416331125123311	-1.22082263133785	-0.506026009884614	-0.22826718296054	-1.78833015828393	1.05025518976881	1.06516874254481	1.20112194486604	-2.91740868281059	0.279869264197785	1.90652000398613	1.25933973317782	-0.971251854421672	-2.12414515917433	2.39007163935958	2.00065251119456	-3.45439649760162	0.066200755912103	0.579696425507966	1.80103002069326	0.0956567538573668	1.30366004782595	2.47016922657458	2.91633723432713	3.45046882255408	1.68995741271526	-0.631971207250329	-1.70934062871139	2.90046406497765	2.0840322145141	-2.52500128958732	0.332735880250094	3.18911111501397	0.335249189316303	-0.0102678053028535	1.38913635188992	0.846101389277992	0.141667494451794	-3.34892097458619	-0.171637065861165	0.41312365978238	1.31519638790921	-4.64226387682934	2.53425701049969	-0.592186610378654	-2.26047237582091	-3.13958796250546	0.958428509272558	2.72255751262898	1.90564809021061	0.929869900805215	2.84787849319302	1.92722409446116	1.47072279554605
"15-02-M22_tumor"	"Treatment"	-2.06118986972238	0.766927286303281	0.131364971412701	-1.82183550239262	-1.36935014636551	-2.37389360868997	-0.69612345495995	-0.748837701206148	-3.4666997048475	0.896041632059606	1.95680481529999	1.28354169094705	-3.11499193542867	-1.70402273991241	-0.157493269356233	0.983649268450187	0.99186180036612	0.684218114590843	-0.509550198975423	-1.86607626620177	-1.46037645284898	-1.92053478678257	-1.12071787608751	0.429350949888711	0.281401270653177	1.47108757493243	-1.90301011691742	-3.67104946561745	-2.78897020481581	-2.34524729618195	-1.39672512491337	0.398624819030235	-1.80559480300041	0.145741350073682	-2.8681206450261	2.02563125870163	-2.05852331953228	-4.67785512696328	1.09081954557756	-3.36448132599877	-2.9697518415764	1.15698508925455	-3.01091089500417	-0.311499016734596	1.94081090907851	1.13018706322301	1.0236831590133	-2.37233063008961	0.253974049908955	-1.62608671352018	-2.39082315093254	-1.58309434124214	1.89938831983143	-1.44545386206406	4.13382478260338	1.47948017538263	-1.81534571976817	-3.30177667268769	-1.70767258522508	-3.11330606464268	-2.45526522710392	-2.60037090236641	-0.344100292348363	2.72275648713445	-0.253368105258104	-3.54734428642574	0.729711140690428	0.598845818567243	-0.496748570123068	-0.215601933001438	-1.4032061780571	-1.04825390710725	2.59367394716861	1.06516874254481	-5.48003433228973	-0.982656067891236	-2.20721153658276	0.427273898494954	1.36331852880772	-1.65224687522291	1.27913593904386	2.93292712302863	3.0443935081744	-3.45439649760162	-0.0119386648694591	2.39157722587748	0.420420442100996	-1.74555238252449	0.900276282539509	2.54037507017996	2.77442329926948	3.24244040918789	2.36122601247866	-2.6599206105423	-1.85540778891282	3.03948686862163	3.54134198484616	-2.5750371954201	0.258672913369276	1.39771125785576	3.36033413953225	1.96493940961049	3.51494881427031	-0.202192618301972	0.00958191335932606	0.129811737127964	3.84427675004536	-1.50252653905441	2.73322697224393	2.03512872669001	2.34983864087023	0.64412967549263	-0.524829866257656	-3.13958796250546	1.03838364235162	3.27027820444367	2.7894906542056	2.0923308800313	2.91647909876571	2.73303662569203	0.373132636544627
"15-02-M5_tumor"	"Control"	-2.6950372832638	0.440278201295888	0.131364971412701	-0.758773057001702	-2.18013543948863	-1.23528364504005	-0.926610452559955	-1.08027591321573	-3.4666997048475	0.424485308579114	1.68511564626566	1.13937144797217	-3.04604495319149	-2.09226670508285	-0.744111485619102	0.983649268450187	0.488137948235092	0.684218114590843	-0.971436466674461	-1.19848676760511	-1.35966600205155	-1.92053478678257	-0.0302489793954113	0.0269718540802115	0.281401270653177	1.47108757493243	-1.5560925611927	-3.01331113918477	-2.35845757826544	-2.24002404686817	-1.88713385371872	0.0191627117457481	-1.80559480300041	-0.0323124209668323	-2.98249975451795	2.02563125870163	-2.46915686207018	-2.14357777675725	1.09081954557756	-2.51240301435311	-3.88142503818283	0.858541269581766	-2.34582860550391	0.909738810224778	-0.333215622363108	1.2776721702449	2.43424521434173	1.19007602040737	1.22375795934732	-1.62608671352018	-2.22502436407291	-1.38568367145648	1.74025031188452	-1.8994331113952	4.30442398633398	2.83474954355379	-1.59918704207261	-2.82049815321074	-2.88651515823365	-4.30955586835701	-2.71090151517268	-2.7213938935152	-0.998423257458413	1.96499645441045	-2.0205393014974	-2.07651224281857	0.0658639338956512	0.598845818567243	0.112433044496161	0.978501482513847	-1.20517528997211	-1.26348267089592	2.41049381136263	2.37955186678926	-6.44635780466742	-3.9870592264194	-1.06302624014756	3.47821958688297	0.732777802519974	-1.40963360175826	-1.45406970884847	2.8440250035753	2.51943372545023	-3.45439649760162	-1.16803017914071	1.47496246227253	-0.572497410206896	-2.15217632840157	0.183127440570401	2.36328914344772	2.91633723432713	2.44900147314092	2.203870900416	-0.340089038676072	-1.06339043547572	2.90046406497765	3.48284907521753	-3.75058876067238	0.401256099351881	2.65952511216719	2.9500358498376	2.03504268952743	3.63598319689935	-1.00390779641994	0.60424653924442	0.799593139887591	3.77034783381381	-2.35327260835787	3.04122291326563	1.91636683453641	2.81959445581132	1.34565895100182	0.141405384732508	-3.13958796250546	1.62081432750231	3.57749074053726	3.40441955470992	2.4406653938501	3.19851335543715	2.85155518315769	1.06924948540107
