lipid,group,LIPPOS16JULY_02.M21,LIPPOS16JULY_03.D7_M7,LIPPOS16JULY_04.D21_M26,LIPPOS16JULY_05.D7_M27,LIPPOS16JULY_06.D7_M23,LIPPOS16JULY_07.M3,LIPPOS16JULY_08.D35_M4,LIPPOS16JULY_09.D7_M8,LIPPOS16JULY_10.D21_M3,LIPPOS16JULY_11.D35_M6,LIPPOS16JULY_12.D7_M18,LIPPOS16JULY_13.D7_M25,LIPPOS16JULY_14.D35_M2,LIPPOS16JULY_15.D7_M16,LIPPOS16JULY_16.D35_M16,LIPPOS16JULY_17.D21_M10,LIPPOS16JULY_18.D21_M6,LIPPOS16JULY_19.D35_M12,LIPPOS16JULY_20.D35_M18,LIPPOS16JULY_21.D7_M10,LIPPOS16JULY_22.D21_M5,LIPPOS16JULY_23.D21_M7,LIPPOS16JULY_24.D21_M21,LIPPOS16JULY_25.D35_M1,LIPPOS16JULY_26.D7_M19,LIPPOS16JULY_27.M11,LIPPOS16JULY_28.D7_M12,LIPPOS16JULY_29.M20,LIPPOS16JULY_30.M4,LIPPOS16JULY_31.M22,LIPPOS16JULY_32.M5,LIPPOS16JULY_33.M13,LIPPOS16JULY_34.D21_M15,LIPPOS16JULY_35.D35_M19,LIPPOS16JULY_36.D21_M24,LIPPOS16JULY_37.D35_M23,LIPPOS16JULY_38.M19,LIPPOS16JULY_39.D7_M21,LIPPOS16JULY_40.M1,LIPPOS16JULY_41.D7_M20,LIPPOS16JULY_42.D35_M13,LIPPOS16JULY_43.D7_M6,LIPPOS16JULY_44.D21_M1,LIPPOS16JULY_45.D21_M2,LIPPOS16JULY_46.D21_M23,LIPPOS16JULY_47.D7_M13,LIPPOS16JULY_48.D21_M8,LIPPOS16JULY_49.M27,LIPPOS16JULY_50.D21_M19,LIPPOS16JULY_51.D21_M22,LIPPOS16JULY_52.D7_M11,LIPPOS16JULY_53.D21_M27,LIPPOS16JULY_54.D7_M3,LIPPOS16JULY_55.D21_M20,LIPPOS16JULY_56.D35_M22,LIPPOS16JULY_57.D35_M10,LIPPOS16JULY_58.D35_M11,LIPPOS16JULY_59.D35_M20,LIPPOS16JULY_60.D35_M3,LIPPOS16JULY_61.D7_M2,LIPPOS16JULY_62.D35_M24,LIPPOS16JULY_63.M16,LIPPOS16JULY_64.D7_M26,LIPPOS16JULY_65.D21_M12,LIPPOS16JULY_66.M23,LIPPOS16JULY_67.D35_M21,LIPPOS16JULY_68.D35_M27,LIPPOS16JULY_69.D21_M18,LIPPOS16JULY_70.D7_M24,LIPPOS16JULY_71.D7_M15,LIPPOS16JULY_72.M26,LIPPOS16JULY_73.D35_M26,LIPPOS16JULY_74.D35_M5,LIPPOS16JULY_75.D7_M22,LIPPOS16JULY_76.M10,LIPPOS16JULY_77.M8,LIPPOS16JULY_78.M2,LIPPOS16JULY_79.D21_M11,LIPPOS16JULY_80.M12,LIPPOS16JULY_81.D21_M13,LIPPOS16JULY_82.M1_D7,LIPPOS16JULY_83.D35_M15,LIPPOS16JULY_84.D21_M4,LIPPOS16JULY_85.D7_M4,LIPPOS16JULY_86.D35_M7,LIPPOS16JULY_87.D35_M25,LIPPOS16JULY_88.D21_M25,LIPPOS16JULY_89.D7_M5,LIPPOS16JULY_90.M24,LIPPOS16JULY_91.M7,LIPPOS16JULY_92.D35_M8,LIPPOS16JULY_93.M6,LIPPOS16JULY_94.D21_M16,LIPPOS16JULY_95.M18
Hex2Cer,1,142181,582,561,1109,508,218580,1476,751,908,880,652,797,712,1794,619,789,791,450,1355,912,1175,986,1015,1126,1766,113373,1092,84080,149181,28908,202847,68404,996,2493,830,1193,367017,1345,228780,863,1085,1568,545,535,1642,1026,375,202460,879,1853,766,716,368,504,557,817,1492,533,768,548,472,246608,303,285,76033,1494,593,521,847,1191,124499,1195,506,457,89507,59651,211179,1270,159549,404,636,566,355,335,752,1413,1321,858,91993,88995,748,300529,1752,38150
HexCer-NDS,2,54432,288,911,170,175,65603,1030,221,414,592,543,427,361,917,332,361,32,309,167,402,537,101,34,280,859,60807,270,17714,96927,14594,63146,19914,192,175,383,402,118597,313,74915,627,367,976,71,541,47,605,397,20281,184,661,57,118,488,84,843,108,501,662,111,280,939,46249,353,81,21190,294,198,277,349,203,44410,377,257,87,24462,26201,34423,776,102398,282,71,129,95,398,481,198,150,270,105673,79784,229,37049,117,12528
HexCer-NS,1,406975,32994,23938,35868,32040,449223,21974,18586,23242,16901,41066,68153,17009,62317,43245,40776,10673,29410,37530,21062,49048,32728,18568,37159,54391,440811,15092,230772,276930,198155,616846,414255,17770,33136,33530,22936,540080,25466,371671,16224,13799,32868,29675,35149,41036,45410,16765,470217,17263,26419,18520,9030,19105,22426,29321,14237,46914,26573,27603,45149,29052,481688,21704,18859,184993,28191,23618,32290,17686,38922,455904,36593,31603,5287,255370,259960,428240,34518,326349,37258,25779,19738,32831,35787,23073,36309,20354,28950,313355,292964,29991,723478,28173,24215
LDGCC,2,2642,47494,38446,4979,6779,1366,10893,36531,5136,7546,8629,63364,22716,6965,53743,11228,8043,31594,14303,6707,39671,4255,42690,36667,15401,17760,35283,1510,13604,3763,4229,5889,9750,41121,6002,4030,2831,11955,2055,42906,7731,10417,12360,34893,11376,5555,13399,11155,6957,13878,8789,4898,3127,8036,3079,34379,11786,27310,21138,8510,37597,5573,35701,26484,7893,39576,32967,23311,6746,28370,2585,3173,10401,40884,5571,2710,12129,8657,5122,23131,3937,6215,33037,18911,6225,12167,25430,32620,14513,9344,5958,6455,10001,6729
LPC,1,7912250,50797506,32451814,39500699,46185633,8098261,31678254,20113670,46821128,62653626,46387895,70968419,58556101,59013170,49848755,42442078,38391691,36929157,63451947,45674855,74900453,51068201,19585993,35620690,47016598,21223571,47683877,4408471,15903343,16961968,14189421,9424234,49372436,38232124,42680393,56668781,13152987,38519973,11398196,42291147,33793917,61337126,41375812,50485183,40870872,36406092,21982286,9428893,33996805,42311638,33792554,30982856,34921765,39936827,40621295,27724484,73420652,49292040,37430732,48344085,37779940,6196267,43747495,31131403,8784095,44364924,38964855,38470055,23914444,47658829,10943465,44658605,41593331,10327537,15709110,19342777,9281198,51876195,8370700,42606992,34538708,37893409,41240280,57199649,29592707,44562500,29759378,40124291,11390839,9279176,42991740,15732715,44753547,389487
LPE,2,550127,530281,321273,501207,520831,683860,374636,241365,524034,656980,402700,788923,796832,683613,690715,337500,377338,422086,731663,489219,752511,407017,205894,411140,671049,1762210,569199,300918,1599966,1169122,1047219,696395,540651,481601,386699,553965,921321,432089,762325,367765,339556,630803,381551,542105,460198,383881,202141,1022273,355257,355239,501857,255714,425833,423455,456369,323791,903686,512106,459072,596339,450825,551034,450789,371949,879302,579296,399882,387245,214355,747318,838689,429053,615332,86776,1038823,1080291,669518,494773,1063741,442469,418543,436684,473474,561085,348546,486073,306470,369895,1040203,567092,488902,1066907,600749,101190
MAG,1,1677372,3902527,3031047,4168159,4108504,1028340,3758900,2687505,3554469,3649800,3117421,4391685,4227973,3558693,4200120,4661922,2626176,3536817,4703178,3419181,3917540,3163646,2432488,2471098,5069330,2414126,2208128,1238828,2033193,1541594,2171812,2297878,3268963,2151010,3741468,2733789,1853581,4205781,1496076,3152019,4034650,2816879,4336897,2590262,4314987,3295362,2324983,2196559,3325375,3311857,4326565,3048341,2943893,4510454,2941559,2435990,4687178,3520535,2950773,4408943,3645791,2091017,2883058,2157424,1912377,3968287,2694383,3144090,3254871,2981717,1863608,3273529,4237231,3164629,1736073,1911614,1291472,3161195,1536769,3760402,2299759,3819435,2797971,3837580,2537516,4223148,2460618,2480212,1578459,1084669,2639359,2411816,3474921,134220
PC,2,148445359,103628209,117196872,110472929,143836885,258300631,93102469,62764520,128874489,172814301,116375313,221555508,188579195,133807538,180569836,122471698,79805194,92865849,190602637,109510137,143840739,101718649,61250359,138331498,133942249,496527103,122256947,148370760,346635493,381029631,325533026,288217176,133447247,118804113,144599979,92459502,263303839,74736073,246210744,109632895,98315711,127338438,119679412,140943365,123686752,114611166,55442850,229494936,86795526,67143977,96527190,89982244,60712509,109261027,140212653,54874525,110208858,136244142,100319065,106704690,119199215,246334971,91887717,89274440,163523452,68956287,122414943,65665196,57367461,83042189,282502396,73152896,141202571,17588747,334029178,317511282,228352826,124842336,188514592,80070068,95118146,145603170,83667770,97875296,55826298,132715566,99700079,104447038,301449656,210059310,130283127,344584910,162518129,31543455
PE,1,35102165,1173787,822974,1791553,1105089,35546074,855750,864152,762891,871933,994904,1536741,886407,1382105,908157,973183,573058,619540,1101357,869568,988592,651187,580023,769738,1119167,79565662,973867,20759894,47407704,34137465,62320722,55354863,756418,932498,780612,1037923,43583966,923574,40443410,1181534,737971,1205856,501441,778597,908150,944278,475061,34916569,656741,820472,629215,675410,486311,623610,1036601,493961,1572738,935630,678519,881695,1059441,47668162,996642,832724,28705595,648627,701554,694376,919649,900111,53961883,1163843,921319,123487,44983549,43470499,40334202,980023,33974906,757127,826647,711175,694319,928258,700875,910595,701932,1169283,34271863,43402910,995137,57962584,1243473,6215502
PI,2,1883574,78166,278600,362761,56999,1497705,52789,43201,451163,84406,63037,46625,90488,67128,42991,78347,38912,42042,34068,45381,93788,58263,43484,455777,81451,328002,32959,160051,303835,267715,1878184,193811,39926,41798,48596,101217,1952590,345803,1634335,399224,250071,569714,396993,51954,36204,484378,34902,331847,260170,250265,348893,236867,274381,59785,413835,309125,548427,347708,216915,83092,34595,247746,501187,208032,930591,263864,450432,212628,78413,383845,1900426,290440,242594,26177,1065677,1020336,1291246,428037,1220052,352685,110609,460125,366879,494718,236929,421885,314667,62584,1657615,1580682,59964,1648569,509551,533172
PS,1,6237426,99858,255211,717536,76096,6908757,72544,86429,78191,58391,82776,122922,48715,83937,75701,74995,42024,58098,111706,66287,67674,65310,80998,54613,81121,8854937,82201,5106237,8673109,7202122,11500364,6955352,50972,77035,66157,207218,7010612,443628,7386104,169720,243757,422027,200958,54064,72572,51823,29935,8275179,118945,150027,171889,91583,205633,48270,174567,153841,401599,218182,121694,196546,101594,6374567,109660,219196,3339213,270432,172207,171554,248190,277055,6306443,285200,154293,222936,4077389,4655688,5953753,270998,5131829,158197,56391,64447,191327,184530,149980,166315,334027,101302,10411225,6116666,180396,6178589,173918,824864
SM,2,60153541,9526488,6946418,11272165,12839347,53009774,7232431,5129848,7109411,10849377,8855819,17492059,8402322,11618991,11375762,8992350,4949475,6027541,11916324,8424602,10015995,6922396,4657983,8512466,9364620,79000818,11376070,41994514,64875525,55625409,73136924,62303234,8705489,8517048,9359014,8125099,49957775,9295043,60985352,7306060,6632151,11390050,6903902,7369296,10105388,9454457,4277671,47478690,6306611,5692480,6781810,4218752,4259863,6344777,10237327,6213980,14241074,9099537,5960556,8337117,8779325,50767423,7974079,6745279,47076739,7003061,7511335,5033290,6136358,8145730,55660827,7625123,7767297,1341217,49049173,48821142,52499012,8696225,53229795,8009887,5825632,8020888,6479260,8178143,6237212,7863357,6339483,7846551,69528485,59321566,8540339,56572864,8470291,5523917
Sphingosine,1,74641,5476,2486,1932,1879,143165,2967,7664,1307,2362,2811,8763,2768,2194,2602,2830,1256,2311,1295,4267,1979,6079,1133,692,1935,796598,1697,52273,237782,164947,157153,120064,6871,2737,1609,1535,199410,5266,132537,3472,1449,2545,2583,744,1375,1255,984,49323,3024,2108,1168,2113,1144,3562,381,782,1816,2985,1338,2072,1208,119351,995,1826,107199,1000,1096,1088,257,1151,124314,1313,2955,585,159720,159438,122092,1642,168882,1476,823,2273,229,2539,1759,573,2034,1924,494241,101796,4177,95418,1127,4759
TAG,2,19055654,2530942,4180000,3746455,5202828,18687157,5984064,4980674,6329381,7952222,6189838,8273578,8292422,9720445,9906482,3193139,4439001,4163701,6150853,4983066,6773000,3291916,3547518,3866767,8884537,22031385,3185262,25486968,22010850,11711301,21553349,36659718,5859384,4701776,8136712,3084346,22325781,3272442,23562942,4673967,4272664,5138809,4383148,6011793,3868217,4319946,1368995,23150123,4728702,4609058,2909664,6054348,4028424,5742085,4376137,4052247,3410920,5349561,5432794,6026383,5091559,21289242,9781668,4012492,21788270,6785494,2875785,6912500,2565596,5556422,22842070,4354904,10115388,2412706,14536251,14279697,45324765,5690528,121464668,5204589,5999093,3309571,10112365,4694913,2813758,3624596,4805067,4317122,24045573,18806948,4039781,19779110,8164586,3833867
w/o  MS2:ACar,1,169169,465140,303625,402507,432583,247551,342145,285112,345463,371660,409541,690502,477318,380209,415307,437791,301925,413702,469315,298498,552881,285099,305004,262708,596959,210478,304521,126594,155348,121141,269140,216783,323386,284380,346434,362197,155725,470353,144085,298317,489468,380712,412794,255022,484416,360325,216130,223676,301842,2502868,413689,278190,249873,387911,356278,300193,521980,469814,308591,411185,386563,243057,286343,194866,193090,535985,285267,333092,234754,285814,181160,226893,448174,354495,795950,142077,130930,337492,212539,480219,228647,357086,211926,385746,257607,499491,268320,351090,134006,129628,310210,186050,371445,111424
w/o  MS2:ADGGA,2,72,222,70,24,152,104,134,59,158,27,34,126,49,0,32,121,27,23,136,70,192,50,88,320,114,121,27,48,26,133,73,78,44,87,177,0,28,155,114,71,395,62,60,44,249,53,29,22,78,42981,137,64,94,182,175,85,53,113,122,59,388,22,98,93,22,27,32,62,75,22,24,0,141,71,51,45,21,66,33,67,144,348,196,155,86,43,98,66,55,68,73,27,54,26477
w/o  MS2:BMP,1,36829,229,209,207,377,37111,256,219,405,338,379,1545,695,180,257,902,424,260,247,319,634,809,388,355,425,65615,659,24992,21640,41438,87020,30132,198,94,317,200,63341,496,52579,161,184,861,390,425,850,395,279,30522,526,1796,148,426,414,392,246,490,242,159,255,375,206,61240,303,187,22915,419,61,180,305,216,44218,289,297,193,41337,66614,46426,336,27430,271,468,586,199,163,119,630,172,620,13028,29536,213,61558,160,18875
w/o  MS2:CE,2,228660,23389,15229,29497,31181,370763,14549,18522,16071,27832,23761,38832,26461,28326,21421,29718,12120,22990,23560,19502,24842,23127,12068,11156,24164,1036379,19872,119211,734313,285722,514237,213067,19227,16377,27792,22450,610649,20671,433198,18290,19370,27142,23036,14725,25020,21138,8788,110370,10005,12416,13424,18456,11625,16463,25864,12278,30416,17741,15069,18889,28021,305940,22928,17852,177882,32665,15437,17911,12065,24105,264460,34004,16312,7318,287902,304534,190203,32784,410075,18838,19705,13972,12988,16229,17895,27658,10250,16195,786111,263965,23846,300671,17533,71124
w/o  MS2:Cer-AP,1,30471,8874,12500,12587,14445,53628,8046,7017,3364,6317,8862,9217,14272,15553,6533,24458,8244,8049,13110,3247,10141,3564,3828,4423,35067,134232,4015,22831,35064,98463,61558,40687,5724,8720,5150,6805,57567,23712,47597,13673,14841,7362,24455,4207,27889,4304,3659,48481,5304,69721,25164,4481,3932,10806,4807,5324,14550,10377,3719,15699,6112,43339,3805,2737,33985,8283,2861,8160,5255,2603,58771,3487,20155,3760,87628,106744,44277,4673,44385,8446,3563,13387,4699,13415,6010,18463,4274,3772,52230,42698,5653,131737,7184,958863
w/o  MS2:Cer-NDS,2,86890,160278,193904,221404,150298,95682,101203,120041,150685,101868,123046,201423,124378,283644,95354,99729,89110,116252,79936,248575,247565,123167,109219,49921,162161,185858,38482,51001,183382,118957,200452,124169,77285,101962,30032,175974,69588,53580,153855,35528,55900,413501,28913,104826,49217,241125,22524,156679,55724,1560269,39669,65960,150301,61737,59000,106589,75483,146567,57035,140282,77158,71157,103758,58791,102586,148598,136111,26153,83130,144456,82784,103276,95556,56687,76643,90529,74413,37685,144372,104556,221812,150651,151540,237486,92120,151710,164326,169897,181682,82755,100323,100797,45928,202633
w/o  MS2:Cer-NS,1,808126,307969,193367,329775,369886,874864,300607,303259,302447,326155,299455,681746,356725,408945,298874,577747,262934,326385,300324,337407,395545,259902,258142,176479,671788,1213686,247013,698141,938959,858134,1424310,956624,289767,203985,296386,274860,649615,593338,1176416,223231,414645,308135,362198,258659,600272,392667,155581,967809,210739,5161738,462651,186206,197759,543440,239677,172829,326064,261344,245817,560137,301905,1188663,314715,191381,675149,486348,182457,314808,236012,259918,957672,226381,642239,253123,950361,919808,1000155,289168,2791389,292080,266699,353675,289900,254945,189541,452652,202947,248874,832177,872774,250369,957437,269253,2300518
w/o  MS2:CerP,2,83209,111139,71182,107368,118647,246267,101679,72677,97322,100161,77317,141594,117813,99081,117120,100226,82906,101416,131460,103635,144033,87795,73053,68874,116139,284458,81082,157421,167176,268029,239264,250884,85266,82380,78315,86441,94059,97783,175038,107823,101242,128702,94980,89066,102646,94698,66127,229666,76235,346656,106192,68591,83514,96475,83828,70831,141013,109774,85212,98280,103387,256439,78045,60463,77712,100052,71183,68862,74825,90276,205533,81569,153299,58163,73938,117952,169353,88057,206505,89227,61104,70127,77925,91547,70119,86490,67732,74339,264105,166765,79721,112386,89636,692678
w/o  MS2:DAG,1,2022418,1469303,1014565,1489981,1593159,2793470,1313789,1060816,1116697,1297029,1287118,2145329,1659284,1493918,1457555,1840077,946322,1323564,2006084,1244750,1720335,1075362,775135,915583,2365916,3053908,857184,1882897,3651755,2210990,3689539,3006284,1195257,921977,1543693,1093552,3438040,1815334,2429761,1200055,1591724,1474258,1680182,1086382,2060229,1182562,686436,2515445,1344312,4117732,1626426,999860,951807,1745399,1125052,915891,1884712,1396101,1049542,1691916,1362233,2809243,1143420,701211,1856376,1798446,837982,1079211,878442,1164614,3074504,1048699,2617702,843699,2498026,2342844,3014133,1191802,3261891,1310359,908172,1271222,1290685,1266613,826935,1808056,868795,934171,3489246,2454377,997660,2359722,1325799,2185425
w/o  MS2:DGCC,2,2323534,785555,555598,570348,799833,6324591,493785,495855,705103,796854,633597,1478885,813118,785958,927164,902425,809460,668946,1085202,806871,847651,699187,476323,606794,679291,10986743,1416007,4587226,7621859,3714160,3638204,7954992,692937,737185,678959,785358,1988479,507918,1680568,574022,549890,761922,507672,961098,895821,706282,352872,5557177,381364,687157,469538,522199,340743,711332,754552,407570,852223,584350,435071,556594,722544,6023348,923527,655633,4625321,724647,610910,403885,302838,513331,3509658,675210,948834,184865,3937962,3733954,3094934,740907,2671786,505625,351430,557808,508530,663566,405392,846289,502033,722251,7133959,5941424,712715,3984869,602877,871600
w/o  MS2:DGDG,1,243646,94206,71934,130280,120425,310839,145348,67185,112751,146898,126091,115428,122128,129186,173722,101512,50391,142716,192200,99404,160007,98757,62388,150128,130913,337487,117157,144350,300913,204943,272422,305050,91154,154558,104380,132741,346981,106839,306124,70814,67989,52012,100670,142565,79750,91978,62917,313750,95817,70122,69545,64664,34301,159767,77349,100202,67727,133301,80372,98302,103417,320950,129875,87814,161068,124272,47929,61308,86980,73752,308693,15510,141977,4465,239053,272705,376637,66198,281264,88854,80454,142435,118232,50230,46058,84107,87094,109207,280524,257366,93912,319281,119354,168481
w/o  MS2:DGGA,2,288406,948430,92943,154184,785135,1552726,579566,232858,806128,666036,607415,1342860,431755,726099,956863,960290,391465,395488,1249570,922294,239016,622293,566132,1025843,850664,2952100,1068422,1130514,1936172,1001437,759756,2702739,359364,860267,384329,306194,280004,176716,460629,94209,232755,218835,172075,1096395,1374938,1162016,445066,2162057,135975,321569,47255,107278,51318,481611,220860,28647,221492,167424,104584,791936,635122,1541712,211094,181688,289530,804524,112740,386721,211603,170984,401292,229064,216125,19011,513502,2054964,2806968,140402,798985,161153,510848,861070,608503,695567,109324,320458,140517,641419,2662830,2761129,874347,3864728,220467,1541707
w/o  MS2:DGTS,1,1721554,1161451,760409,957612,990264,2784151,658941,601363,807292,1202015,991713,1542505,1179787,898422,1078609,982033,828699,901802,1459791,899218,1215005,713783,589670,862394,954308,5707981,919473,1260924,3192561,3156834,4085693,2394207,827468,799849,820594,787965,1479572,1021600,2484858,895273,790625,1286448,913193,571991,873463,729619,524067,1964386,706033,850781,843209,585354,725700,803584,904154,686256,1416329,1192663,920020,889397,979190,2979587,892743,674177,1045460,932449,871380,919550,569134,854534,2624271,799218,1441831,598604,2045805,2729116,2854750,971015,2374796,916737,643889,804218,683879,1056576,729801,871718,666390,669952,2902487,2493233,777786,2866482,1118823,3941964
w/o  MS2:HBMP,2,128,9035,4832,4047,16776,305,1168,631,5137,9414,15047,17908,12446,16789,10343,7008,2792,9416,5729,13140,23316,26010,716,2959,3316,124,7732,172,106,877,126,121,3260,3709,11545,34877,630,2758,39,2109,2562,9304,7589,8124,6297,10813,2777,158,6192,21776,2917,7653,8494,8756,13602,3916,44418,9030,9426,11708,11386,70,27177,15201,90,5494,14056,8726,1952,10854,25,39334,5065,252,85,29,45,69337,66,8779,3669,2831,8792,16623,5069,16700,3716,11615,89,777,8266,1783,20069,195
w/o  MS2:Hex2Cer,1,293024,41898,108905,95428,30807,89911,64875,17226,66985,71915,7174,69479,64603,33903,33202,71517,67204,27542,63274,45862,55177,68628,25189,31525,33700,205436,8197,26745,178600,130017,178377,96477,111719,31407,54765,70111,431549,28524,357219,88731,94158,153603,138162,71081,33475,28005,21954,107588,81115,88174,82754,98511,80953,41529,132502,83555,121774,89274,89163,84771,35494,130304,129052,62856,189017,50123,103380,67824,28194,91465,316088,104948,88912,17977,209481,306532,270388,138597,209097,82316,57974,136142,93524,147436,80837,113867,98402,38633,286266,291844,58828,459768,141795,303497
w/o  MS2:HexCer-EOS,2,8215,29654,27402,47341,40727,19156,81403,42697,95645,65982,75491,71232,77557,59789,97327,45188,52723,45262,94019,54450,82062,36268,42292,70450,66781,105618,37133,7603,76056,4658,17572,6896,69384,96650,56905,28868,42845,35662,20138,58520,48334,58485,59093,66416,24892,45927,24748,2488,67880,27753,30136,26737,41606,59134,40109,59533,40258,66088,60076,52414,53844,31986,50536,37049,4680,60268,28079,64959,34434,59970,5079,37367,87744,15814,8149,674,11637,49833,50795,46108,53445,53163,69400,56080,40846,32103,46954,44853,39399,22443,35457,33078,77910,14652
w/o  MS2:HexCer-NDS,1,47264,33062,21131,32163,28526,66477,7072,16268,21606,20972,29059,53633,16211,55240,15631,36443,16990,22781,15857,30155,25592,26176,12275,11300,29837,34582,28403,59419,26880,31947,64216,38987,36836,12673,29773,18409,66465,20499,44428,26655,17108,24178,15472,21638,29628,24051,15310,73171,11218,14077,22054,12669,12392,24326,30777,11945,34385,16676,9368,24699,17590,49386,21474,12639,35237,17814,14920,19972,13688,46260,43305,14475,14923,5584,42616,25525,42868,35138,81491,13153,20039,23779,16466,26448,20705,28924,19897,22570,35590,50307,22278,68720,18162,15233
w/o  MS2:HexCer-NS,2,8700810,1685632,1374303,2634448,1124298,7246980,1498656,508482,1409216,1219928,1596867,924814,448667,338341,2191076,2487573,1033384,290620,1007551,1905855,819576,2652765,933127,1723660,326093,8372308,408933,1070460,5272728,9920295,11872428,9503335,1751724,1551397,2300287,3930381,10072409,2131997,10461962,942275,1284986,3049538,1502745,2288782,393876,1644029,570432,4167838,1383428,2373799,1317726,2834004,1320975,1516542,3462662,1537301,3673165,1266151,1503047,1323552,2059358,5575287,3685641,2556840,4040492,1574255,1965249,1307702,1072430,1739817,11299335,3636854,2161060,357523,13625621,13128664,8701383,3343141,7325975,1669971,925746,1655361,1244760,2280715,1706243,3027975,930024,841571,5042196,8075708,2170711,13422402,2564802,3230462
