"","Label","Pyruvate","Alanine.Sacrosine","Lactate","X2.Oxobutanoate","Acetoacetate","X3.Hydroxybutyric.acid","Serine","Glycerate","Uracil","Proline","Maleic.acid","Fumarate","X2.Keto.isovalerate","Acetyl.glycine","Valine.5.Aminopentanoic.acid","Succinate.Methylmalonic.acid","Threonine.Homoserine","Cysteine","Nicotinate","Taurine","Pyroglutamic.acid","Pipecolic.Acid","Citraconic.acid","Ketoleucine","Hydroxyproline.Aminolevulinate","N.Acetyl.L.alanine","Leucine.Isoleucine","Asparagine","Hydroxyisocaproic.acid","Ornithine","Malate","Homocysteine.Methylcysteine","Anthranilate","Acetylphosphate","Alpha.ketoglutarate","Glutamine","Lysine","X2.Oxo.4.methylthiobutanoate","Methionine","Ribose","X3.Methylphenylacetic.acid","Xanthine","Hydroxyphenylacetic.acid","X2.3.Dihydroxybenzoic.acid","Histidine","X2.Aminooctanoic.acid","Indole.3.carboxylic.acid","Phenylpyruvate","Phenylalanine","Phenyllactic.acid","Quinolinate","Phosphoenolpyruvate","Uric.acid","Dihydroxy.acetone.phosphate","Glyceraldehdye.3.phosphate","sn.Glycerol.3.phosphate","Aconitate","N.Acetyl.L.ornithine","Arginine","Acetyl.aspartate","Citrulline","Ascorbic.acid","N.Carbamoyl.L.aspartate","Allantoate","X2.Isopropylmalic.acid","Glucono._.lactone","Hydroxyphenylpyruvate","Glucose","X4.Pyridoxic.acid","X3.Phospho.serine","X3.Phosphoglycerate","N.Acetyl.glutamine","Acetyllysine","Kynurenic.acid","N.Acetyl.glutamate","Citrate.isocitrate","X2.Keto.D.gluconate","Erythrose.4.phosphate","Tryptophan","Xanthurenic.acid","Glucarate","Deoxyribose.phosphate","Pantothenate","Cystathionine","Deoxyuridine","Ribulose.5.phosphate","Ribose.5.phosphate","Pro.Asp..PD.","Val.Asp..VD.","Uridine","Leu.Asp..LD.","Glucosamine.1.6.phosphate","Glucose.1.6.phosphate","Fructose.6.phosphate","Inosine","X6.Phospho.D.gluconate","Chlorpropamide","Pantetheine","Xanthosine","D.Sedoheptulose.1.7.phosphate","S.Methyl.5..thioadenosine","X4.Phosphopantothenate","N.Acetyl.glucosamine.1.6.phosphate","dCMP","Glutathione","dTMP","CMP","UMP","Cyclic.AMP","dAMP","Fructose.1.6.bisphosphate","Trehalose.Sucrose","AMP","IMP","GMP","Xanthosine.5.phosphate","Sedoheptoluse.bisphosphate","Riboflavin","S.Adenosyl.L.homocysteine","Octoluse.bisphosphate","CDP","UDP","Trehalose.6.Phosphate","ADP","GDP","CDP.ethanolamine","FMN","X5.Methyl.THF","UTP","CDP.choline","UDP.D.glucose","UDP.D.glucuronate","ADP.D.glucose","UDP.N.acetyl.glucosamine","Glutathione.disulfide","FAD"
"160711-62","plasmaD7",181036832,23695216,8886835200,5633782,13436644,7542374,36852380,41267596,4676,32668700,137282208,63862404,28866072,45235760,174146960,1740742272,186122192,358.5,25560408,999050688,3472829,3219007,110056984,31812654,2302642,10785882,88189040,11649873,31044330,74612,542295360,142053,4045103,8875,1176188288,645032704,8635972,651893,92148992,12442834,1784032,2571979,6178534,1697624,5982518,10206379,945469,14069580,169814000,7041414,1565535,214391,395635136,2820680,7655,64080556,136674144,798169,3924989,28898830,66071552,16153,353491,909682,7896584,719836,16404788,538746560,15891556,7723,161548,2926,796098,5422744,19122518,1009134400,10146017,27554,234812672,1293790,1461272,108847,86867152,197813,1605084,1028411,43596,3742,2609,15653585,9547,358.5,713197,114747,13526,8463,387642400,358.5,942485,21799,358.5,12232,1405017,3137,176327,4122,19010,3509,207578,358.5,31229,805429,218498,358.5,3788,358.5,358.5,358.5,7017,358.5,358.5,358.5,358.5,4428,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,61288,358.5
"160711-63","plasmaD7",125888168,18710232,5457571840,5314456,13757359,8091126,41609208,40031692,11933,30489300,94992880,48409644,58470448,53659376,128450248,1082956288,131252408,8553,43713068,919550912,1904960,4462118,107595864,30164710,1729846,9994171,69688464,10629567,29911710,92176,363354912,315422,3927293,5425,1234056576,881255552,5999978,406074,90092832,19239324,1722147,17820476,1913100,424841,6618139,15685901,909729,9818449,150159104,5531898,723828,442442,340440864,3839971,16727,46518236,139286896,595154,3068596,28399466,58543228,26380,490903,743473,6983197,188406,7487542,842068480,18833758,4293,333636,3314,669493,2358976,16686734,800943744,9263202,14844,231418288,532202,141165,208513,73935552,19509,807372,1714832,2471,3942,2810,22637760,17998,358.5,533374,116080,12395,4998,392453760,358.5,940259,29305,358.5,358.5,870795,358.5,383508,358.5,12303,3690,65743,358.5,15315,13212911,230440,358.5,3393,358.5,358.5,4766,3097,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,17357,358.5
"160711-65","plasmaD7",74334608,19649978,5401569792,6016232,7963017,10425987,27825622,48511616,14147,41432492,99443392,41304656,61413224,68212624,282247840,954106816,187593904,51213,37674220,1077495808,2757790,3407193,110276376,31735746,1834692,10211711,133225848,10196475,29326312,561983,379239840,258628,4243762,21319,1158069760,597190784,12900775,908474,96440648,9933705,1398529,391612288,1810369,2047493,8586767,16390061,916281,3431731,265491360,6999716,2473622,2222752,274510176,29275456,87043,223925936,230092384,754803,6415320,32077212,59406668,6376,550079,1175951,9949420,340107,5505700,142628000,15356612,4796,2550796,3376,721046,8931321,19518910,2205682432,12258222,24005,202745056,1490855,1585123,138570,65506636,45962,2091656,10804806,55014,14566,3199,22140786,27007,358.5,1565475,2501502,4087,6891,381095104,358.5,11892325,398609,9654,25502,1383738,358.5,674216,358.5,16510,2938,118517,358.5,80477,954109,1050592,358.5,42677,358.5,358.5,4672,7126,358.5,358.5,358.5,358.5,358.5,358.5,2779,358.5,5351,358.5,358.5,5824,358.5,358.5,5360,200636,358.5
"160711-71","plasmaD7",140112592,23752768,7595751424,5389484,15155420,8101052,59206696,37682704,5698,42628060,200698928,66611452,19897660,46845236,196875952,1590102016,185657664,7007,69196608,1329612160,2049966,2773280,111918792,30142236,525228,10106505,107542032,11112036,31157258,601840,820173632,199863,4037762,6434,1275755264,626235776,11748288,316353,77642952,15869076,1242489,102405536,3183714,917721,6865981,20841718,1496861,13514817,180063872,7072198,1523813,2929654,528161856,26954358,51593,167780816,199285168,217234,5468252,31815394,58343148,15157,683343,432235,7180332,420402,11154193,664558976,12969021,5189,2571608,3258,663127,8208211,20868770,1836080128,11660280,39569,240851680,2350769,256792,18729,81352288,409629,871871,9032211,8458,14924,8937,15132591,12569,358.5,3019009,626742,8897,17235,372304672,2456,2870869,419112,358.5,30925,3497224,2698,927516,358.5,146071,10689,146043,4398,16139,10699586,1731105,358.5,171349,358.5,358.5,4758,3204,358.5,358.5,358.5,358.5,358.5,358.5,358.5,8275,358.5,358.5,358.5,358.5,358.5,358.5,31264,293010,358.5
"160711-76","plasmaD7",76658552,16031250,5092276224,6051311,14268249,10518428,27409222,39569764,8303,30258838,67038668,31642398,47104856,68477800,123452368,834145728,120610840,55925,72100704,979590784,3215364,3152542,111056624,32451890,1324789,9359680,71687168,7651966,24160312,237375,250699360,159569,3118515,14294,877299520,555934528,7722384,686271,72147128,12116458,1131101,273131424,1923204,985657,4757018,17310960,966964,3663664,137273728,4580828,1567814,1563373,153025520,11277810,12619,104789064,152715104,680601,4644844,23957826,47358904,12341,432392,1022066,3112071,842068,2862427,280098208,12977272,3490,1575213,6071,740861,2739678,19475408,1719629440,8338848,11961,200388320,598991,242010,482089,54993740,218575,1712166,10563038,4011,6285,3577,15887522,12052,358.5,2171226,1163339,7255,6532,378964096,358.5,3632047,820406,358.5,5600,1497298,2978,374479,8738,45648,7945,96937,358.5,358.5,2873535,775202,358.5,61910,3605,358.5,358.5,60671,358.5,358.5,358.5,358.5,358.5,358.5,2857,358.5,358.5,358.5,358.5,11868,358.5,358.5,5223,110940,358.5
"160711-78","plasmaD7",127031208,16779582,6403425792,4538752,12855818,10362444,31280810,40476348,30782,31412978,121987096,46766532,47594912,67514312,174529824,989327744,127467552,7073,55412480,560916160,4113391,3097397,105186112,31402170,1254985,10867658,94546120,7613614,39858624,321939,483889248,258532,3651466,60385,1439041280,762937088,8339325,9868,59347608,14741551,1241620,346532640,2390250,469192,7245420,14467693,1315790,6972213,195451456,7084136,857257,894784,383011200,14636839,43607,149947024,132381336,369366,3216563,30357442,52953396,46249,504295,653548,3171477,600871,8173700,447491712,19182258,3466,470669,2963,677907,3120672,21450340,1018133760,13494745,8413,250328736,723950,559325,26752,79782984,121434,1037090,3655948,36761,10220,2377,19544348,5627,358.5,730557,446313,12490,5471,373741376,358.5,12449005,64828,4546,8390,1055103,358.5,310295,5348,77929,4604,183154,358.5,521239,1539158,294972,358.5,358.5,358.5,6788,358.5,9040,358.5,358.5,358.5,358.5,24574,358.5,358.5,358.5,358.5,358.5,2441,358.5,358.5,358.5,358.5,100438,358.5
"160711-89","plasmaD7",32269286,1280361,495195072,6127369,12269606,3963327,588307,675542,37059,1281595,10765766,4513303,57876320,2726776,1771637,377686944,913097,914,846760,30688126,644980,21183,100421312,30096630,103602,1433672,865701,194533,3054931,122266,16943814,796,3018952,4873,9667531,2826830,437669,358.5,2150552,103862,1002312,2651744,1346300,659010,497708,19842094,5014,594498,2062254,485236,78617,10803,10277,304722,147843,2050459,10921103,22598,136910,1723094,314999,12429,29861,1999,4651622,172314,58484,2539960,560181,3672,4346,5548,4028,17543,1050255,27375428,4668,19207,828146,4777,4495,7831,4340940,7424,1220,533184,18076,1737,6143,48632,3325,1169,757375,99419,11750,9679,534176,358.5,5061,346697,4531,358.5,11555,358.5,60582,358.5,358.5,3327,290377,358.5,358.5,151774,65153,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,12648,2968,358.5,358.5,9426,358.5
"160711-91","plasmaD7",12337605,90167,154196544,5939568,9336897,5958026,66289,1159155,29465,262264,3664734,3857687,31496662,1973922,533847,357864064,226692,358.5,590261,3123765,4838974,439945,97876688,28608786,70861,418998,359798,6470,2812203,165236,10285762,1691,2528698,9645,7769544,157247,2731173,358.5,665189,56779,6567614,261914,2700897,184985,31997,17283106,7997,1086413,219095312,664714,862462,7890,4537,247578,113475,223020,7911759,2611,2990442,2681156,113315,15360,41656,358.5,1926756,253016,85904,66127,50694664,3290,5896,1811725,350754,221646,1039790,31400766,2162,9328,45828128,358.5,27122,16662,2378521,358.5,50343,57749,6470,2200,4598,640785,115337,358.5,50297,5120,3486,2122159,129254712,358.5,400825,85914,3037912,358.5,358.5,358.5,23744,358.5,358.5,358.5,90161,358.5,358.5,94298,6217,358.5,358.5,358.5,358.5,4315184,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5
"160711-93","plasmaD7",16282999,5015860,4415304704,5962384,11054200,4871724,5134928,8773443,20858,9543359,45693380,16340258,29663994,17491782,37824372,737841088,24493214,7349,14669336,317519968,958039,657360,99438304,30594944,423125,2753000,19201502,1603285,10214166,102590,160460240,20971,3081740,24450,212941488,108279568,1383669,623565,14825845,1862103,829172,590893,1578001,608014,703946,10838577,182932,2417034,20196952,2704464,477434,530488,291021,1914846,43539,63652860,43695316,108093,391964,8605666,11670217,20641,55512,70118,5751334,670869,1853396,73081920,4298284,4898,226052,2886,71185,1407873,5356164,265747840,2051997,44072,60624596,308736,25990,30872,23562224,35219,1265,883099,5357,358.5,6235,2590110,3071,358.5,709024,212154,8241,692758,58354940,358.5,132417,65467,358.5,358.5,688891,358.5,190429,358.5,358.5,4107,182650,358.5,545953,570278,68638,4107,358.5,358.5,5092,358.5,358.5,358.5,358.5,5340,358.5,5327,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,38350,358.5
"160711-101","tumor",25097476,16129055,5184356864,5753875,6434970,5738488,28879248,13006287,6466,62044924,172616080,127917640,79443744,9442140,130345408,425158560,41055768,28224,169605312,906847872,3036091,819560,106125232,31179270,2688718,70098032,94822200,15054210,8515659,3790974,698014272,131252,3213060,118863,31046152,28132272,7880326,370354,112187176,582500,1726565,600645248,2231843,572682,10868031,16273515,103663,1033370,255000720,3762111,1001703,499679,1110640,259027872,902027,148599408,48682112,105092,2208472,23798022,2553324,108356,1719708,83395,3711101,270327,351933,9525784,3004426,281451,2609617,3441,410909,164000,9233566,278876576,3476448,395555,79488408,16546,51695,3035180,107380304,199738,1684520,83995304,1594990,580608,353341,6118861,161275,628490,94924472,29830348,7004,449908,116284552,366455,3993071,18812502,358.5,250106,49158212,917826,65253820,21746,280286,3887,142521,82015,27899340,128476,49889,358.5,213482,358.5,4314128,24458,105311,156208,9337,358.5,358.5,7881,358.5,1641460,27839,358.5,358.5,22071,3799068,1322617,52403,1311991,7090399,23432
