"id","Label","2-3-Dihydroxybenzoic-acid","2-Aminooctanoic-acid","2-Isopropylmalic-acid","2-Keto-D-gluconate","2-Keto-isovalerate","2-Oxo-4-methylthiobutanoate","2-Oxobutanoate","3-Hydroxybutyric-acid","3-Methylphenylacetic-acid","3-Phospho-serine","3-Phosphoglycerate","4-Phosphopantothenate","4-Pyridoxic-acid","5-Methyl-THF","6-Phospho-D-gluconate","Acetoacetate","Acetyl-aspartate","Acetyl-glycine","Acetyllysine","Acetylphosphate","Aconitate","ADP","ADP-D-glucose","Alanine-Sacrosine","Allantoate","Alpha-ketoglutarate","AMP","anthine","anthosine","anthosine-5-phosphate","Anthranilate","anthurenic-acid","Arginine","Ascorbic-acid","Asparagine","CDP","CDP-choline","CDP-ethanolamine","Chlorpropamide","Citraconic-acid","Citrate-isocitrate","Citrulline","CMP","Cyclic-AMP","Cystathionine","Cysteine","D-Sedoheptulose-1-7-phosphate","dAMP","dCMP","Deoxyribose-phosphate","Deoxyuridine","Dihydroxy-acetone-phosphate","dTMP","Erythrose-4-phosphate","FAD","FMN","Fructose-1-6-bisphosphate","Fructose-6-phosphate","Fumarate","GDP","Glucarate","Glucono-_-lactone","Glucosamine-1-6-phosphate","Glucose","Glucose-1-6-phosphate","Glutamine","Glutathione","Glutathione-disulfide","Glyceraldehdye-3-phosphate","Glycerate","GMP","Histidine","Homocysteine-Methylcysteine","Hydroxyisocaproic-acid","Hydroxyphenylacetic-acid","Hydroxyphenylpyruvate","Hydroxyproline-Aminolevulinate","IMP","Indole-3-carboxylic-acid","Inosine","Ketoleucine","Kynurenic-acid","Lactate","Leu-Asp--LD-","Leucine-Isoleucine","Lysine","Malate","Maleic-acid","Methionine","N-Acetyl-glucosamine-1-6-phosphate","N-Acetyl-glutamate","N-Acetyl-glutamine","N-Acetyl-L-alanine","N-Acetyl-L-ornithine","N-Carbamoyl-L-aspartate","Nicotinate","Octoluse-bisphosphate","Ornithine","Pantetheine","Pantothenate","Phenylalanine","Phenyllactic-acid","Phenylpyruvate","Phosphoenolpyruvate","Pipecolic-Acid","Pro-Asp--PD-","Proline","Pyroglutamic-acid","Pyruvate","Quinolinate","Riboflavin","Ribose","Ribose-5-phosphate","Ribulose-5-phosphate","S-Adenosyl-L-homocysteine","S-Methyl-5--thioadenosine","Sedoheptoluse-bisphosphate","Serine","sn-Glycerol-3-phosphate","Succinate-Methylmalonic-acid","Taurine","Threonine-Homoserine","Trehalose-6-Phosphate","Trehalose-Sucrose","Tryptophan","UDP","UDP-D-glucose","UDP-D-glucuronate","UDP-N-acetyl-glucosamine","UMP","Uracil","Uric-acid","Uridine","UTP","Val-Asp--VD-","Valine-5-Aminopentanoic-acid"
"160711-78","plasma",469192,14467693,3171477,13494745,47594912,9868,4538752,10362444,1241620,3466,470669,8390,19182258,358.5,5471,12855818,30357442,67514312,677907,60385,132381336,24574,358.5,16779582,653548,1439041280,294972,346532640,12449005,358.5,3651466,723950,3216563,46249,7613614,358.5,2441,358.5,373741376,105186112,1018133760,52953396,77929,183154,121434,7073,64828,358.5,358.5,26752,1037090,14636839,5348,8413,358.5,358.5,521239,446313,46766532,358.5,559325,600871,358.5,447491712,730557,762937088,310295,100438,43607,40476348,358.5,7245420,258532,39858624,2390250,8173700,1254985,358.5,1315790,12490,31402170,3120672,6403425792,5627,94546120,8339325,483889248,121987096,59347608,1055103,21450340,2963,10867658,369366,504295,55412480,358.5,321939,358.5,79782984,195451456,7084136,6972213,894784,3097397,10220,31412978,4113391,127031208,857257,358.5,14741551,36761,3655948,9040,4546,6788,31280810,149947024,989327744,560916160,127467552,358.5,1539158,250328736,358.5,358.5,358.5,358.5,4604,30782,383011200,19544348,358.5,2377,174529824
"160711-79","tumor",28886,16502268,1491918,25996718,7154462,227808,34712416,8124508,161204,1907661,68954832,646207,5386494,169080,3172072,7573012,344879232,42666316,2987204,362608,206615152,13480324,3044120,45605288,873062,101506456,2694426,2501347584,15437656,656919,779451,581281,11763252,2712284416,42830728,91563,874533,11930075,202339856,89366008,3774767616,23691300,6437498,1195042,420896,4948002,204553200,5466376,15662475,18889502,3833647,351952736,4701909,1987674,443755,1854629,270731712,83582520,395395168,653484,14895354,203172,306606,47361304,256350608,172044032,134823520,38935556,1606020,57404756,2242561,62564088,658770,24057494,2691308,304524,11860516,356645,432921,1345,21360106,606435,14455636992,2326840,520360704,34649064,6396239360,1468018048,300369920,141102608,57727620,2691,594583616,378615,90373072,157897056,2149458,2373710,1044091,726919424,871057792,10514600,1070848,22012300,2246744,3926448,218036720,12590321,19689576,8595398,175373,3133407,3464698,354285408,698906,64373,31276612,76089968,724425920,849944832,8047188992,295077376,302711,548271,155479120,8585949,67721048,20593062,46998852,179036,11193,963930432,17465258,3981,1030667,386099776
"160711-80","tumor",140799,13961387,6435566,6156636,17059686,462583,3568080,6721424,1651200,716618,6095064,734008,8986343,11596,1195262,15894606,114076032,30447050,491902,146759,166666912,1698301,361109,49853068,760813,143751200,1837039,1754739200,23192474,105250,1862358,190511,1203572,23338,17049948,6972,167469,5302639,245222736,101896696,1684975872,14276804,2628283,305404,45897,167209,39460204,4196920,5799286,5272881,5206728,444292992,7510222,685550,288643,143823,23756764,26116488,407768064,358.5,3798673,1250362,13587,19464128,117617952,77202336,141915280,13747381,4494196,54364040,592594,22593640,449545,27409230,1796338,1007251,6302130,2972476,574873,1449,30330168,722844,9071789056,624487,219556224,18374820,3073540864,749435072,115987216,34555472,28439020,5486,196285536,109329,23314994,266007136,32555,2551722,332393,456461696,560803456,7488015,1507592,1985053,2626470,1820175,125767976,10645724,44459280,5826233,240344,1001291,2400740,105551680,364532,159706,1965249,40655808,1055288192,574565184,3218290432,127603368,95848,176287,151751984,156620,15062758,2377816,16542588,160346,27145,5907242,11182098,358.5,1159104,273956320
"160711-81","tumor",21766,9853451,1420818,16200191,6134960,616384,6969456,5529465,290997,694748,66597248,1136044,5353263,190873,1974989,13322991,333518592,36474488,4634490,199318,176596448,8564064,1989102,118498864,802621,115681208,3617318,2379525376,12251750,1057447,425953,1369955,5566158,1089810304,48827728,289862,664591,7681833,189234112,88110376,3090958080,22614846,8002730,674403,972116,2127496,126901904,7930290,9673677,7964055,1537876,114530024,10458333,1599905,384305,926736,272212608,124573264,348040992,1063742,18008958,1003620,849005,35149120,276524832,223004464,220488816,42923956,418864,65803568,10235964,62356416,461648,14922873,2573900,672602,6574166,1387595,196853,1505,18950224,319781,12274703360,2052160,403847360,38784272,4748124672,1145306368,223606672,80714448,83551272,358.5,418407168,378963,20331794,233255616,2640055,5706357,3962350,4164637,921569856,3663808,1804957,18750886,3210291,2897680,189629504,11105538,20746160,6575612,308159,1810106,5531245,40246032,821088,30947,32307214,80511536,305032000,457010592,6902002688,255622416,28233,620524,100951520,10885562,47820392,9849370,29956830,132917,11488,702966976,10052544,358.5,1947189,349236288
"160711-82","tumor",398925,34207988,1978317,24988720,6171431,463132,12130227,8005594,219049,457392,28884838,588010,3857254,174502,623840,7699295,342361920,41654808,1045827,177905,142789504,9447186,2391360,85958240,794304,133898240,3408759,2283072768,6423992,873052,663605,860413,6170144,1512767872,36967020,231332,678476,8373364,190318864,82844472,3272990208,17590938,6948132,972921,41892,2015260,662452,6257460,7458060,19529630,3181492,426883872,6216396,2696475,514350,1113391,271853760,69043960,363179584,834470,16649889,228319,93439,23055382,287073760,139074816,253015776,47475048,5209890,46432720,7477432,51374216,538315,21919582,1584398,135671,7912994,3698190,275242,1801,20534784,981303,12010233856,1468667,446192064,30917146,5648723456,1294572800,214714320,71233584,59726064,358.5,256395568,315152,66910320,189939104,2352884,5793151,1520145,1783223,885371008,4380424,622264,4073208,4023919,2594058,142203200,7798924,16293592,11792490,96953,1349196,3304616,489983296,913970,27575,34619660,52205368,501976288,483517376,6635418624,185064368,18402,133641,107300328,11098244,61891948,17570646,41278540,519169,8178,975779392,11102037,358.5,1990780,334988480
"160711-83","tumor",392132,17620824,2877140,3027501,15455948,1446140,22405996,4645593,430481,199950,6993394,901008,4431544,101474,36655,15668129,203036800,16611612,515961,98529,87782384,2266248,453134,50334404,5212,83561256,471326,961632448,9162454,6142,1774934,211600,3857397,100641,22878188,15972,155961,6526129,165653888,91906808,1362343296,4516116,1160196,353561,238951,27012,35108284,800341,3716964,3426321,1662009,46468884,511033,427385,61095,689795,52603916,50331680,218876336,358.5,2766524,1127987,23053,5240864,94104408,74575808,214602416,19317256,412234,1007408,589410,22454824,14716,9880959,2509946,3069221,3392409,21147,156652,31571532,26367274,434592,6738980864,590010,348012896,15619575,1568333952,392852928,112411376,43550436,35127932,3258,116879512,107645,5306132,203535072,263850,6780562,4110895,474258752,650742592,3306238,2738790,527517,502499,821310,71899768,1130253568,18786310,1464177,282320,347637,1739186,34022516,525403,228728,5194323,39803632,172987584,408207840,2613359872,89280824,1938045,325975,71080584,425412,17004238,2040438,8020958,50639,25443098,1233775,1083124,358.5,503614,144867072
"160711-84","plasma",444086,23212958,3098842,1994026,45467980,176216,6381142,3484074,1324327,10187,219664,358.5,5374588,358.5,657397,17282032,11187364,21456668,304810,31744,67295104,29162,358.5,14342251,16793,372172288,51151,8027482,489533,358.5,3110238,33085,1227824,2086,11278850,358.5,358.5,358.5,129205480,101738904,636060160,41984356,11703,211607,247019,1544,2024,358.5,358.5,187699,27983,639356,358.5,72907,358.5,358.5,482321,109020,17219898,358.5,634949,2071297,358.5,587357056,813918,503257120,83297,13861,16297,1191084,3848,2784435,148180,12257735,1139446,3021977,1474667,358.5,211292,1547152,30247892,741668,3598688512,5968,102956784,4305655,138686560,40211184,19084266,409919,7158340,8082,4760735,13737,131986,9278047,358.5,151808,358.5,27964448,59118896,2282553,2776695,129606,551477,358.5,16477305,1363349,12915554,482363,358.5,12662305,75406,390863,358.5,358.5,5815,34423592,45810832,572461888,437124640,102065992,358.5,861362,197607504,358.5,358.5,3039,358.5,3459,52138,179168,2850822,358.5,14476,68413864
"160711-85","plasma",723571,10094891,9319893,14202003,33578192,244640,5884152,6771349,1238123,3221,1159997,11449,9841850,358.5,5905,13185519,44206304,61765056,1086716,30479,214941632,6464,358.5,36767524,1371672,575747328,504603,145538624,2006592,358.5,3180063,284186,3861194,23995,18334616,358.5,358.5,2589,252960912,105654952,1661311616,75227872,80972,103016,65447,15703,278479,358.5,358.5,310292,2870698,11387649,358.5,13811,358.5,9368,253138,410644,27482618,358.5,3340799,1052865,358.5,904202816,1102079,922760448,297750,223070,25196,34481668,72320,7000988,300891,39386332,2080205,7424806,2441194,358.5,962562,14182,30696758,1778826,6444453376,19203,96512248,8467698,240851280,64856568,85199976,1245264,16252063,2576,14593951,547048,866284,55021140,358.5,364621,358.5,120344104,175021184,6046028,7193466,1169227,2861641,15270,38340076,823316,159958496,4644372,358.5,20993030,1923,5877048,4849,4025,358.5,53390368,109935168,982656320,1623472384,221087264,358.5,2159137,219382896,358.5,358.5,358.5,16954,3315,17771,716670400,30402338,358.5,5422,157294640
"160711-86","plasma",1309355,12597411,2847081,8513450,56093728,164087,2881680,7437522,2083519,4315,164210,44076,12519100,358.5,5555,13559731,24742848,67809016,484376,9470,121004400,4371,358.5,11768561,1365156,963501568,176157,1524440,389008,358.5,3682161,1093092,2890145,14473,9127358,358.5,3078,358.5,313639968,105005528,859673600,53413644,14953,227239,66632,12213,8913,358.5,3411,121415,842062,1338104,4650,44865,358.5,4542,115686,54028,36442268,358.5,1083860,1107952,358.5,589533248,578570,627723520,112224,103332,10856,38811700,4187,5362720,199631,28592346,2451126,9979573,1207545,358.5,557512,11579,31619652,4169729,3801950976,34053,68908408,7467908,346188960,91239648,42126908,718744,12226492,2908,9420702,459313,398462,14079712,358.5,212673,358.5,62285748,125949328,5514223,7359186,204984,2668039,2147,22802142,910327,76751632,3357322,358.5,13598598,13363,698099,2345,358.5,358.5,32583414,34877440,920261952,669155840,151346720,358.5,1821668,221265152,358.5,358.5,358.5,358.5,3366,24454,171058208,15667201,358.5,2483,134848128
"160711-87","plasma",353416,8813035,2631530,11227810,23268486,94758,6028316,7506856,1678429,7192,1680896,358.5,22963324,358.5,204665,8308652,32249066,20592316,492824,8579,153031648,358.5,358.5,41782528,621562,1336737664,3804,4010926,3111462,358.5,3955905,969032,3988623,17887,16183189,358.5,358.5,358.5,248208976,108305104,1843607424,83350464,95127,109546,630184,30756,242919,358.5,2778,7159,946416,14207157,358.5,14530,358.5,358.5,133869,392867,73936592,358.5,638737,285763,1945,886835200,2356742,843790656,701270,295340,25515,31109202,131684,6961224,187189,34653364,3572532,11029695,751054,358.5,762568,4456,30060666,4076618,9331492864,79017,95469888,10538647,1028327040,249073760,76082952,1887313,25920486,3003,10082013,1383068,1073936,28202022,358.5,767914,358.5,100897136,145816608,7696556,11929038,3082879,1423002,7301,66674416,468662,137761856,4274448,358.5,19432760,8641,3629085,3275,5009,358.5,68229680,191026720,1631676416,1655196800,236282016,358.5,2770774,225034464,358.5,358.5,358.5,21575,2881,32984,480169184,9898257,358.5,2595,195335696
