"id" "Label" "mouseID" "treatmentID" "Exercise" "Weight" "metabolite" "area"
"160711-71" "plasmaD7" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 0.790565934897941
"160711-72" "plasmaD21" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 0.893182628898501
"160711-73" "plasmaD21" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 0.893182628898501
"160711-74" "plasmaD21" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 0.790565934897941
"160711-75" "plasmaD35" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 0.996985550403562
"160711-76" "plasmaD7" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 0.704437477481081
"160711-77" "tumor" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" -1.87720610390082
"160711-78" "plasmaD7" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 0.790565934897941
"160711-79" "tumor" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" -2.8035774461103
"160711-80" "tumor" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" -0.486781059514271
"160711-81" "tumor" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" -2.06118986972238
"160711-82" "tumor" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" -2.6950372832638
"160711-83" "tumor" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" -1.63882484367873
"160711-84" "plasmaD21" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" -0.389597323129928
"160711-85" "plasmaD35" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 1.10715158770592
"160711-86" "plasmaD21" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 0.790565934897941
"160711-87" "plasmaD35" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 0.790565934897941
"160711-88" "tumor" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 1.2200092574379
"160711-89" "plasmaD7" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 3.03629664030505
"160711-90" "tumor" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 1.98540838384514
"160711-91" "plasmaD7" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" 1.44941136570817
"160711-92" "plasmaD35" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" -1.01138140899949
"160711-93" "plasmaD7" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 0.266583000039931
"160711-94" "plasmaD21" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 1.31828208101775
"160711-95" "plasmaD21" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 1.31828208101775
"160711-96" "plasmaD21" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 1.58711281707902
"160711-10" "plasmaD35" "15-02-M22" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 1.1649904041967
"160711-101" "tumor" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -0.767342157544169
"160711-102" "plasmaD7" "15-02-M1" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.184464511102478
"160711-11" "plasmaD35" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.766927286303281
"160711-12" "plasmaD35" "15-02-M11" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 1.03302165280924
"160711-13" "plasmaD35" "15-02-M20" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 1.68321088091598
"160711-14" "plasmaD35" "15-02-M3" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 1.03302165280924
"160711-15" "plasmaD7" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.292458707369454
"160711-16" "plasmaD35" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.292458707369454
"160711-17" "tumor" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-18" "plasmaD7" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.597843340127449
"160711-19" "plasmaD21" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 1.03302165280924
"160711-20" "tumor" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.292458707369454
"160711-21" "plasmaD35" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 1.1649904041967
"160711-22" "plasmaD35" "15-02-M27" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.017803604625291
"160711-23" "plasmaD21" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -0.017803604625291
"160711-24" "plasmaD7" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.767342157544169
"160711-25" "plasmaD7" "15-02-M15" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 1.03302165280924
"160711-26" "tumor" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.150901298214331
"160711-27" "plasmaD35" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 1.03302165280924
"160711-28" "plasmaD35" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.292458707369454
"160711-29" "plasmaD7" "15-02-M22" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -1.23887802216876
"160711-32" "tumor" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.597843340127449
"160711-33" "tumor" "15-02-M8" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.597843340127449
"160711-34" "tumor" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.357532749901955
"160711-35" "plasmaD21" "15-02-M11" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-36" "tumor" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.150901298214331
"160711-37" "plasmaD21" "15-02-M13" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.630963856285633
"160711-38" "plasmaD35" "15-02-M15" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.292458707369454
"160711-39" "plasmaD21" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.766927286303281
"160711-40" "plasmaD7" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.150901298214331
"160711-41" "plasmaD35" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-42" "plasmaD35" "15-02-M25" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.766927286303281
"160711-43" "plasmaD21" "15-02-M25" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.630963856285633
"160711-44" "plasmaD7" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.017803604625291
"160711-45" "tumor" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.292458707369454
"160711-46" "tumor" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.150901298214331
"160711-47" "plasmaD35" "15-02-M8" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.017803604625291
"160711-48" "tumor" "15-02-M6" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.88411476602277
"160711-49" "plasmaD21" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-50" "tumor" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.017803604625291
"160711-51" "plasmaD7" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-52" "plasmaD21" "15-02-M26" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.767342157544169
"160711-53" "plasmaD7" "15-02-M27" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -1.23887802216876
"160711-54" "plasmaD7" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -1.13500390680726
"160711-55" "tumor" "15-02-M3" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.017803604625291
"160711-56" "plasmaD35" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.597843340127449
"160711-57" "plasmaD7" "15-02-M8" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.909106753708909
"160711-58" "plasmaD21" "15-02-M3" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.597843340127449
"160711-59" "plasmaD35" "15-02-M6" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.88411476602277
"160711-62" "plasmaD7" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -0.017803604625291
"160711-63" "plasmaD7" "15-02-M25" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.505474784998616
"160711-64" "plasmaD35" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.150901298214331
"160711-65" "plasmaD7" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -0.505474784998616
"160711-66" "plasmaD35" "15-02-M16" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-67" "plasmaD21" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-68" "plasmaD21" "15-02-M6" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.88411476602277
"160711-69" "plasmaD35" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 1.03302165280924
"160711-70" "plasmaD35" "15-02-M18" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-71" "plasmaD7" "15-02-M10" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-72" "plasmaD21" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.184464511102478
"160711-73" "plasmaD21" "15-02-M7" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.184464511102478
"160711-74" "plasmaD21" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.767342157544169
"160711-75" "plasmaD35" "15-02-M1" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 1.03302165280924
"160711-76" "plasmaD7" "15-02-M19" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -0.505474784998616
"160711-77" "tumor" "15-02-M11" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.017803604625291
"160711-78" "plasmaD7" "15-02-M12" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -0.630963856285633
"160711-79" "tumor" "15-02-M20" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -1.45983581733172
"160711-80" "tumor" "15-02-M4" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-81" "tumor" "15-02-M22" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 0.766927286303281
"160711-82" "tumor" "15-02-M5" "SED_AL" "SED" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-83" "tumor" "15-02-M13" "SED_ER" "SED" "ER" "Alanine.Sacrosine" 0.597843340127449
"160711-84" "plasmaD21" "15-02-M15" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.597843340127449
"160711-85" "plasmaD35" "15-02-M19" "EX_AL" "EX" "AL" "Alanine.Sacrosine" 0.440278201295888
"160711-86" "plasmaD21" "15-02-M24" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.909106753708909
"160711-87" "plasmaD35" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" 1.03302165280924
"160711-88" "tumor" "15-02-M19" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -1.13500390680726
"160711-89" "plasmaD7" "15-02-M21" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -0.017803604625291
"160711-90" "tumor" "15-02-M1" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -1.96435926743617
"160711-91" "plasmaD7" "15-02-M20" "EX_AL" "EX" "AL" "Alanine.Sacrosine" -3.98338723490823
"160711-92" "plasmaD35" "15-02-M13" "SED_ER" "SED" "ER" "Alanine.Sacrosine" -1.82242114856674
"160711-93" "plasmaD7" "15-02-M6" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.630963856285633
"160711-94" "plasmaD21" "15-02-M1" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.505474784998616
"160711-95" "plasmaD21" "15-02-M2" "SED_AL" "SED" "AL" "Alanine.Sacrosine" -0.909106753708909
"160711-96" "plasmaD21" "15-02-M23" "EX_ER" "EX" "ER" "Alanine.Sacrosine" -1.45983581733172
"160711-10" "plasmaD35" "15-02-M22" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-101" "tumor" "15-02-M18" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-102" "plasmaD7" "15-02-M1" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-11" "plasmaD35" "15-02-M10" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-12" "plasmaD35" "15-02-M11" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-13" "plasmaD35" "15-02-M20" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-14" "plasmaD35" "15-02-M3" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-15" "plasmaD7" "15-02-M2" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-16" "plasmaD35" "15-02-M24" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-17" "tumor" "15-02-M16" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-18" "plasmaD7" "15-02-M26" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-19" "plasmaD21" "15-02-M12" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-20" "tumor" "15-02-M23" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-21" "plasmaD35" "15-02-M21" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-22" "plasmaD35" "15-02-M27" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-23" "plasmaD21" "15-02-M18" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-24" "plasmaD7" "15-02-M24" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-25" "plasmaD7" "15-02-M15" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-26" "tumor" "15-02-M26" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-27" "plasmaD35" "15-02-M26" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-28" "plasmaD35" "15-02-M5" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-29" "plasmaD7" "15-02-M22" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-32" "tumor" "15-02-M10" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-33" "tumor" "15-02-M8" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-34" "tumor" "15-02-M2" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-35" "plasmaD21" "15-02-M11" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-36" "tumor" "15-02-M12" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-37" "plasmaD21" "15-02-M13" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-38" "plasmaD35" "15-02-M15" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-39" "plasmaD21" "15-02-M4" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-40" "plasmaD7" "15-02-M4" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-41" "plasmaD35" "15-02-M7" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-42" "plasmaD35" "15-02-M25" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-43" "plasmaD21" "15-02-M25" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-44" "plasmaD7" "15-02-M5" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-45" "tumor" "15-02-M24" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-46" "tumor" "15-02-M7" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-47" "plasmaD35" "15-02-M8" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-48" "tumor" "15-02-M6" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-49" "plasmaD21" "15-02-M16" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-50" "tumor" "15-02-M21" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-51" "plasmaD7" "15-02-M7" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-52" "plasmaD21" "15-02-M26" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-53" "plasmaD7" "15-02-M27" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-54" "plasmaD7" "15-02-M23" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-55" "tumor" "15-02-M3" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-56" "plasmaD35" "15-02-M4" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-57" "plasmaD7" "15-02-M8" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-58" "plasmaD21" "15-02-M3" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-59" "plasmaD35" "15-02-M6" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-62" "plasmaD7" "15-02-M18" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-63" "plasmaD7" "15-02-M25" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-64" "plasmaD35" "15-02-M2" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-65" "plasmaD7" "15-02-M16" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-66" "plasmaD35" "15-02-M16" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-67" "plasmaD21" "15-02-M10" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-68" "plasmaD21" "15-02-M6" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-69" "plasmaD35" "15-02-M12" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-70" "plasmaD35" "15-02-M18" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-71" "plasmaD7" "15-02-M10" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-72" "plasmaD21" "15-02-M5" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-73" "plasmaD21" "15-02-M7" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-74" "plasmaD21" "15-02-M21" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-75" "plasmaD35" "15-02-M1" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-76" "plasmaD7" "15-02-M19" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-77" "tumor" "15-02-M11" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-78" "plasmaD7" "15-02-M12" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-79" "tumor" "15-02-M20" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-80" "tumor" "15-02-M4" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-81" "tumor" "15-02-M22" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-82" "tumor" "15-02-M5" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-83" "tumor" "15-02-M13" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-84" "plasmaD21" "15-02-M15" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-85" "plasmaD35" "15-02-M19" "EX_AL" "EX" "AL" "Lactate" 0.131364971412701
"160711-86" "plasmaD21" "15-02-M24" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-87" "plasmaD35" "15-02-M23" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-88" "tumor" "15-02-M19" "EX_AL" "EX" "AL" "Lactate" -2.49652165738485
"160711-89" "plasmaD7" "15-02-M21" "EX_ER" "EX" "ER" "Lactate" 0.131364971412701
"160711-90" "tumor" "15-02-M1" "SED_AL" "SED" "AL" "Lactate" -2.49652165738485
"160711-91" "plasmaD7" "15-02-M20" "EX_AL" "EX" "AL" "Lactate" -3.15099771227445
"160711-92" "plasmaD35" "15-02-M13" "SED_ER" "SED" "ER" "Lactate" 0.131364971412701
"160711-93" "plasmaD7" "15-02-M6" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-94" "plasmaD21" "15-02-M1" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-95" "plasmaD21" "15-02-M2" "SED_AL" "SED" "AL" "Lactate" 0.131364971412701
"160711-96" "plasmaD21" "15-02-M23" "EX_ER" "EX" "ER" "Lactate" -2.49652165738485
