"","Label","Pyruvate","Alanine.Sacrosine","Lactate","X2.Oxobutanoate","Acetoacetate","X3.Hydroxybutyric.acid","Serine","Glycerate","Uracil","Proline","Maleic.acid","Fumarate","X2.Keto.isovalerate","Acetyl.glycine","Valine.5.Aminopentanoic.acid","Succinate.Methylmalonic.acid","Threonine.Homoserine","Cysteine","Nicotinate","Taurine","Pyroglutamic.acid","Pipecolic.Acid","Citraconic.acid","Ketoleucine","Hydroxyproline.Aminolevulinate","N.Acetyl.L.alanine","Leucine.Isoleucine","Asparagine","Hydroxyisocaproic.acid","Ornithine","Malate","Homocysteine.Methylcysteine","Anthranilate","Acetylphosphate","Alpha.ketoglutarate","Glutamine","Lysine","X2.Oxo.4.methylthiobutanoate","Methionine","Ribose","X3.Methylphenylacetic.acid","Xanthine","Hydroxyphenylacetic.acid","X2.3.Dihydroxybenzoic.acid","Histidine","X2.Aminooctanoic.acid","Indole.3.carboxylic.acid","Phenylpyruvate","Phenylalanine","Phenyllactic.acid","Quinolinate","Phosphoenolpyruvate","Uric.acid","Dihydroxy.acetone.phosphate","Glyceraldehdye.3.phosphate","sn.Glycerol.3.phosphate","Aconitate","N.Acetyl.L.ornithine","Arginine","Acetyl.aspartate","Citrulline","Ascorbic.acid","N.Carbamoyl.L.aspartate","Allantoate","X2.Isopropylmalic.acid","Glucono._.lactone","Hydroxyphenylpyruvate","Glucose","X4.Pyridoxic.acid","X3.Phospho.serine","X3.Phosphoglycerate","N.Acetyl.glutamine","Acetyllysine","Kynurenic.acid","N.Acetyl.glutamate","Citrate.isocitrate","X2.Keto.D.gluconate","Erythrose.4.phosphate","Tryptophan","Xanthurenic.acid","Glucarate","Deoxyribose.phosphate","Pantothenate","Cystathionine","Deoxyuridine","Ribulose.5.phosphate","Ribose.5.phosphate","Pro.Asp..PD.","Val.Asp..VD.","Uridine","Leu.Asp..LD.","Glucosamine.1.6.phosphate","Glucose.1.6.phosphate","Fructose.6.phosphate","Inosine","X6.Phospho.D.gluconate","Chlorpropamide","Pantetheine","Xanthosine","D.Sedoheptulose.1.7.phosphate","S.Methyl.5..thioadenosine","X4.Phosphopantothenate","N.Acetyl.glucosamine.1.6.phosphate","dCMP","Glutathione","dTMP","CMP","UMP","Cyclic.AMP","dAMP","Fructose.1.6.bisphosphate","Trehalose.Sucrose","AMP","IMP","GMP","Xanthosine.5.phosphate","Sedoheptoluse.bisphosphate","Riboflavin","S.Adenosyl.L.homocysteine","Octoluse.bisphosphate","CDP","UDP","Trehalose.6.Phosphate","ADP","GDP","CDP.ethanolamine","FMN","X5.Methyl.THF","UTP","CDP.choline","UDP.D.glucose","UDP.D.glucuronate","ADP.D.glucose","UDP.N.acetyl.glucosamine","Glutathione.disulfide","FAD"
"160711-19","plasmaD21",0.528136417887789,1.03302165280924,0.131364971412701,-0.372363939748096,-0.337946709918965,-0.195545439601676,0.930205036901554,0.748387980485086,0.637492109376933,0.761203206910405,0.269656320597752,0.624923548609998,-0.453779480723243,-0.798380885609761,0.413671238476724,0.867899230683346,1.06520052933911,-1.83835929222824,-0.313000574398644,-0.134232664790324,-1.38009372824953,0.540584204766101,0.13363622308862,0.0621946561929906,0.41644499591769,-0.584300154248157,-0.502372000925368,0.429350949888711,0.654768412841914,0.281401270653177,0.474590047013546,0.644062048829118,0.22981182293338,1.51360874505023,1.37478675589529,0.805996483886859,0.0191627117457481,-0.497710039787704,-0.0323124209668323,1.32940681441298,0.59654264948809,-3.03593515399175,0.918558360501071,1.34738300739168,-0.212449453242177,-0.574451782660296,1.20621123794098,1.49558028704317,0.135410791626017,0.506692237342502,-1.49394574761503,-1.52685548635877,1.13018706322301,-1.09178331888341,0.0512727288501914,-0.222834364982386,0.156307983336575,0.95307109302808,0.497149991421011,0.158804659338098,1.25306069049034,-0.697424263327659,-0.282451691346517,0.51554310218149,0.41177048501097,-0.103281192819818,2.02045664716912,1.22399431774894,0.509034193376806,0.728033057265724,-3.11904880496229,1.02381714397313,0.445768023304542,0.976908412496268,0.729711140690428,-3.34035989175265,0.559783353076034,-0.83731012551695,0.6423452565668,1.35340844448137,0.647268235938303,-1.14949850592562,0.388219608080057,1.13128448459075,0.815353690921501,0.0473258283326062,-0.064037930927079,0.825306036991956,-0.30721597254912,0.815304816327557,2.75748075321187,-0.0424278264297814,-0.698049707698977,-0.774853032343861,1.02629376917379,1.03166460570447,0.655674934957613,-0.431414840763914,-0.1755529034294,-0.874820561880258,-0.216463669823251,-0.809399898358593,-0.248260015381843,0.0320606786026789,-0.573255887842431,0.459889697881118,0.0803002398080006,1.0570081642982,0.201145930705869,-0.589584660117822,-2.21559374419318,1.97243124937171,-0.991839004050635,-0.0807059905170554,-1.14360978281711,0.368865410015506,-0.913019561648853,-0.0534321050551,0.141667494451794,-0.123425295352457,0.705192446908064,-0.39297099995654,0.870684265958192,-1.01939510714935,0.614817451117164,-0.919826010181471,-0.671738476750313,0.715103361923938,1.14839286409399,0.101324646131728,-1.13861651333391,-0.692610147820019,-0.242402925771061,-1.35398135729038,-1.00161560053033,0.155503699794205
"160711-23","plasmaD21",0.704437477481081,-0.017803604625291,0.131364971412701,-0.0648949994241101,0.246127937227763,0.251746270425608,0.930205036901554,0.976277646160743,1.08515165864783,0.251247565229022,-1.23333106359156,-0.0317547095940327,0.97713747399303,1.05710215696022,0.83452614632386,0.517628083865106,1.06520052933911,-0.632241482315364,-0.739009025013275,0.684218114590843,-0.277122399856979,1.26795747977012,0.593649745970285,0.48097419347035,0.968798545348568,-0.506158633915807,0.575276726237399,0.221920769187078,0.52116959808272,-0.145846251540191,-0.960553455850684,1.20894067586459,0.526095221435494,1.12969183635807,0.563814238618625,1.03842833829709,0.279106804045897,2.03470975919887,1.17086420812159,0.974831161777721,0.307468849311415,-0.934742171242987,0.374274706266479,1.26562105782383,0.0204644503774711,-0.495978365354702,1.01489320733811,0.743293181388435,0.135410791626017,0.178266429915377,-1.08118312548508,-0.835972496690981,1.13018706322301,-1.91742794710246,-1.09160906978333,-1.2050360342286,0.156307983336575,1.6893617772114,0.60669179719699,-0.403093211604559,1.25306069049034,0.00314222342238396,-0.519515795660048,1.14210589841539,0.41177048501097,1.03958198638262,1.38636656522253,1.38225234399041,0.368349992477436,-0.0376646501557764,-1.67393019157612,0.982739918910682,1.24621189208687,0.601755214820914,-0.104959302764312,-2.20938491414618,0.215335555805623,0.620451544511005,1.2533862577316,0.997713027611652,-0.722198230167237,-1.22169905108443,-0.206057986469269,0.6035800730406,1.07427214613448,-2.40428469907892,0.817124580205376,0.461099054968566,0.448906016016467,0.697298501160502,0.644619549101227,1.21898974445487,-1.47329847429697,-1.27312642682084,1.17822635326965,-0.293994027514194,0.955666257977199,0.627907657360124,-0.400321598516359,-1.37080630645255,1.71687403377445,-1.07031778660181,-0.764898879169104,-1.23481448443584,-0.687561859179916,0.18580444225764,-2.57835010921236,0.295018108865062,0.591323645752301,-0.796622934591432,-2.37145951232915,0.648521071763341,-0.917829820701594,-0.286195398273544,-1.36930208895657,0.0985352652314611,0.218200212686359,-0.289903555804957,-1.71620133111695,-0.371777929489604,0.395801231048106,-0.598106735892677,0.624646764408204,-1.22287238421563,0.384378014998763,-1.11025772618448,1.26256442160124,0.406616977721917,0.960433077640763,-0.199746093310044,-1.29844338395398,-0.87471993364661,-0.484748745310885,-1.52269927672689,-2.44653702748567,-0.165463374518538
"160711-35","plasmaD21",0.790565934897941,-0.184464511102478,0.131364971412701,0.293725996723111,0.246127937227763,-0.0171572507742196,0.817703496150085,0.638370143112682,0.702275743220661,-0.0817995951674785,-0.225521549304975,-0.399893091852833,-0.818138129796278,0.552315742499774,0.0831461444777303,-0.205126018641376,0.692642931288511,-1.05316557748963,-1.22362935777635,-0.98471936087186,-0.277122399856979,0.639513791212037,0.487305624487363,0.292975700373597,0.41644499591769,-0.506158633915807,-0.614796965136824,0.799986219338437,0.168025917584794,-0.609115438102659,-0.180288096036269,1.60897997014202,0.526095221435494,0.920367471178203,1.37478675589529,0.805996483886859,0.513791729888243,0.271058539238391,-0.0323124209668323,1.40587640558218,0.7301686754178,0.371987995857684,0.0482756437328533,1.26562105782383,-0.212449453242177,0.00358105347354823,1.01489320733811,0.607587687725284,-0.474971141463659,0.0566676073080942,-1.1945686654591,-0.333215622363108,1.13018706322301,-1.35701714923225,-0.0668919772691065,-0.546181026952073,0.31088739405405,0.489608567962634,0.60669179719699,-0.262708510550135,1.16888416100933,-0.866263717145298,-0.213525165282805,1.14210589841539,0.497609320635135,0.505838913057283,1.02253210256966,1.92050590909355,0.220569037594794,-0.25522843071461,-0.0615623225666787,0.575941366828913,0.701526315703095,0.898670598481542,-0.483584066694176,0.598845818567243,0.559783353076034,-0.433957044972166,0.6423452565668,0.923155447730219,-0.191690410278434,-1.38298792461857,-0.101098166748232,1.0717628479281,0.684366919554678,-1.30786862356645,-0.39627966084754,-0.227678594323601,-1.19628295900146,0.928942301704415,-0.0464763992199614,-0.913369003836678,-0.944462284530286,-0.644444277511669,0.693644751556703,0.678059168418143,0.655674934957613,0.465957444881211,-0.1755529034294,-1.64142707639662,-0.856198134657546,0.731102577926142,-0.43618908886147,-1.65172872421936,-1.43353820488904,-0.0875742335195145,0.166265681321308,-0.230943090290024,0.0101592021810793,0.455327649509878,0.206150400008656,1.36404758455143,-1.36886878171318,-0.735769348961276,-1.86307635605251,-0.492898582904259,0.151034546785831,-0.807260657074407,-0.240222917524251,-0.915128928024061,-0.281091231394893,0.710469317943874,0.0863608605418307,0.751895197748517,-0.119782120655392,-1.52688814930182,0.800869053156324,-0.268295875418549,0.549210792809716,-0.858434846395132,-1.64811589717603,-1.27314346684389,-1.01495791138278,-1.89182380932944,-0.5599368178572,-0.867681738058041
"160711-37","plasmaD21",0.893182628898501,-0.630963856285633,0.131364971412701,0.212493570015588,0.0625958486512175,0.323434666601802,-0.14821732447778,0.638370143112682,1.02642990647151,-0.265110318203178,-0.225521549304975,-0.399893091852833,1.13255028303825,1.05710215696022,0.0831461444777303,0.867899230683346,0.176351595746537,0.72691225057837,-0.151836076143239,-0.374874647153853,-0.509550198975423,1.3839496211404,0.593649745970285,0.574211516463978,0.41644499591769,-0.418511860899915,-0.264853133921004,-0.301088488947569,0.52116959808272,-0.827378233237188,-0.180288096036269,0.719625275734867,0.692473550624037,1.22227211499638,0.993566770300947,1.60574966380264,0.624119084678223,0.443262907154902,-0.452235146158674,1.05474974045264,0.535509880091015,-2.39671010035576,0.813157774054832,1.47700754817028,-0.10284989544755,0.431182391108932,0.676582163659127,0.36365043331787,-0.174082826032781,0.506692237342502,-0.144452379867632,-0.640609620750933,1.13018706322301,-1.09178331888341,-0.0668919772691065,-0.655429737033147,0.517148767411063,1.37498976133452,0.392196996900636,-0.537530788397851,0.826709103193081,-0.905425645889874,-0.519515795660048,1.01111922399551,0.881686540953298,0.569741878702795,1.09573584355586,0.822930381361451,0.858864620499924,-0.0376646501557764,-0.124337565785918,0.817325776778883,1.15966877444907,0.532388540098969,-0.290605611181778,0.194660779239557,0.63839353094312,0.620451544511005,0.6423452565668,0.563790655378955,-0.289906745474534,-1.66899943458968,0.0828997042026271,0.42596228144012,0.512033045607174,-1.30786862356645,-0.246605179533042,-0.131308634583234,-0.718014272647171,0.815304816327557,-0.961228504265103,0.996854592062822,-0.698049707698977,-0.880174655153649,0.289253351468348,-0.931997190703631,0.655674934957613,-0.787409402115425,-0.794091910546997,-1.64142707639662,-0.542686397022549,1.30366004782595,-1.1039107697551,-1.35402590069031,-0.631857943246816,-1.41347722442081,-0.15067060418619,0.955877840658291,0.896784678623162,-0.926141926952254,0.611526204751478,0.780351408661199,-1.36886878171318,-0.414745450678635,-1.51049066942118,-0.0705778518779421,-1.19365681075276,-0.437835352962235,0.405038204692654,-0.527142356696994,0.202252291242877,-0.726435538299841,0.470730637717387,0.751895197748517,0.240219725222949,-1.22938798861041,-1.09556828979094,2.45747120448832,0.842849204766664,-0.388089909935099,-1.39842786888811,-0.988644163450367,-0.636355429772777,-1.62824582349072,-0.904606384780543,-0.366253939218139
"160711-39","plasmaD21",0.996985550403562,0.766927286303281,0.131364971412701,0.46242764289808,-0.0122204112786331,-0.296117845229453,1.02410830125635,0.275576858117075,0.856740978174931,0.251247565229022,0.0547955357543685,-0.163997130902618,0.604185197519656,0.453065025798901,0.413671238476724,0.867899230683346,0.849782651944049,0.395315145773964,-0.46318577599031,0.338494995329045,-0.200347158766175,0.350106433005721,0.0225914624371151,-0.142253196013301,0.553505702987694,-0.660534458543906,0.143646170919818,0.935834071569259,-0.0969576935079525,-0.145846251540191,0.00492200730970132,0.927726044173819,0.22981182293338,0.631341630950556,0.3077119888259,0.805996483886859,0.398624819030235,0.882107295252821,0.297810787517427,1.23827209369873,0.307468849311415,-2.32893784426726,0.546051548967684,0.338524110464021,0.252759429961338,-0.926292759874504,0.812106611953499,1.16122469121543,-0.326342666839223,0.393949783545662,0.531085730319417,-0.0717020560224493,1.2776721702449,-0.511817688929988,-0.301358438256423,-0.546181026952073,0.156307983336575,0.738180099198245,0.60669179719699,-0.403093211604559,0.99657860967963,0.63742973003394,-0.353445073271374,0.110175461455138,0.585957332806987,0.290509574630471,1.53314812505674,1.38225234399041,0.509034193376806,-0.344100292348363,-0.895267302600782,0.686887743066077,0.801677948291447,1.30877377568531,-0.290605611181778,0.416331125123311,0.377635941197877,-0.0207307602198451,0.506525673616818,1.40946689197194,-0.494909247830455,-0.481375314601305,-0.374070275565649,0.753517102886717,0.684366919554678,-1.30786862356645,0.526152705111641,-0.227678594323601,-0.551512487876643,0.596424449739087,-0.227484705962663,-0.859774035008143,-1.14818079183732,-1.11795823115039,0.829987224421788,-0.868878128557325,0.239000245440745,-1.08657295732527,-0.400321598516359,-2.06378666063819,0.796362903606694,0.798765027370922,-0.359805359815831,-0.451145543560415,-0.573255887842431,-1.70362436929178,-0.405417857603799,0.013115447059898,-0.289349298110946,-1.20897115921819,-0.547707344002746,0.896986652932137,-0.85071386125886,-0.69545881917204,-1.8188026558693,-0.439868349019117,-1.42949310231716,1.34273455068306,-0.534292472665794,-0.866409987393873,-0.220398449418362,-1.00666576554954,0.134625645300241,0.0751242376489146,-0.0745771835460612,-1.48953146291801,1.12446614543544,-0.207780592827022,0.586082564711362,-0.799374279023615,-1.6167629145596,-1.23741928024653,-0.967417318003708,-1.85872668382951,-0.0212701649191032,1.27951612918074
"160711-43","plasmaD21",0.790565934897941,-0.630963856285633,0.131364971412701,0.842051268203505,-0.0122204112786331,-0.100033893502956,0.720005771671137,0.638370143112682,0.485215306876255,-0.99193377147639,-0.134736308467161,-0.399893091852833,0.0080481921476785,0.757902519946328,0.259824990396865,-0.501238765995759,0.543003120227105,0.207864941833257,-0.151836076143239,-0.134232664790324,-0.660935416605058,0.709107034641511,0.245964637931078,0.173516098483842,0.553505702987694,-0.924503583447233,-0.264853133921004,0.126538307637069,0.168025917584794,-0.459558780244144,0.00492200730970132,1.05336950881253,0.452527932653958,-0.0294687631916463,1.37478675589529,0.553437261111809,-0.403234931261084,0.367280692125944,-0.161979591858375,0.974831161777721,0.480574404058849,0.371987995857684,0.546051548967684,1.03763030706596,-0.611303072758559,0.431182391108932,0.748015307116382,0.827381285006413,-0.326342666839223,0.0566676073080942,0.389872373626527,0.0251647706813689,0.772830103882963,-0.279967388059245,-0.695103761124473,-0.879193106809645,0.733747908785604,1.09178325041086,0.497149991421011,-0.262708510550135,1.08052466849535,-0.953624852766023,-0.519515795660048,0.51554310218149,-0.346633292035696,0.63178441432641,1.1551186923407,1.22399431774894,0.509034193376806,0.239052202758455,-0.124337565785918,0.638433811639015,-0.0367726861812244,1.54403972217936,-0.290605611181778,1.21959907047504,0.300771597657586,0.277675484938188,0.828536030902613,1.73683893814483,-0.867659059944209,-0.481375314601305,-0.101098166748232,0.951954042110558,0.369560762226813,-0.306660379162207,-0.479444485541795,-1.0143316388443,-0.629754615730884,0.697298501160502,0.262859125106207,1.42718347024948,-1.01466775108403,-1.05461676165699,0.639531050804971,0.757111545237092,0.655674934957613,-0.955234188180472,-0.572497410206896,-0.946885889415027,-0.696475991992567,-1.43349440456169,-0.499277951545219,0.0320606786026789,-0.265723299599291,-1.57624398416599,0.441631720054917,0.0815000098825938,-0.205365880301075,-1.08480348372068,-0.819172027580993,0.363331893977865,-1.36886878171318,0.76132303577719,-0.00455146390014803,-0.277742453311764,-1.32595626531168,-0.619052708075208,1.17368392258473,-0.71746472902126,-0.0348463422519425,-0.883639105105135,0.282182442372416,-1.50609631268669,0.0636249397015648,-0.327122272259026,0.93523941119215,-0.0227711430217517,0.69880824227143,-0.618812235740334,-1.5209094736565,-1.12820204083064,-0.822074544280808,-1.75754098797462,-0.0994240218464032,-0.612223607441776
"160711-49","plasmaD21",0.614029060369011,0.440278201295888,0.131364971412701,-0.162263894312794,0.0625958486512175,0.251746270425608,1.02410830125635,0.514231561199397,0.54002407094876,0.424485308579114,-0.574415770359904,-0.896800817333867,0.748511651240669,0.670736246077097,0.618954324157346,0.517628083865106,0.849782651944049,-0.87248069804547,-1.05866718069859,0.684218114590843,0.220473556521517,0.942034023850969,0.0225914624371151,-0.142253196013301,0.691713721443723,-0.584300154248157,0.422124076126834,0.935834071569259,0.52116959808272,0.725410937525522,-0.180288096036269,1.20894067586459,0.526095221435494,0.117637733259909,0.3077119888259,1.03842833829709,1.01462203252508,1.27187779594101,0.975819710315639,0.907041718365368,0.377827562549878,-2.39671010035576,-0.0195454929818483,-0.643573453668469,0.572222064811999,0.0910937299649698,1.20621123794098,0.607587687725284,-0.174082826032781,0.293746331967137,0.120752718059431,-0.640609620750933,1.13018706322301,-0.768810132657998,-0.3874263683375,-0.879193106809645,-0.0212128352032881,1.22247486059976,1.18537071696832,-0.697750436851949,1.16888416100933,-0.953624852766023,-0.754242775563994,1.46403111756446,0.725302002258341,-0.016865489947694,0.538993917876879,1.03178452491599,0.368349992477436,-0.25522843071461,-0.660118761990636,1.12783572266205,0.801677948291447,0.80198722767124,-0.483584066694176,0.598845818567243,0.478203215636874,-0.215601933001438,0.377188440189848,0.923155447730219,1.37301399084483,0.499410722492828,-0.101098166748232,0.42596228144012,1.07427214613448,-1.16984830591696,-0.064037930927079,-0.339028056608483,-0.812168006932295,1.4640098651037,0.262859125106207,-0.550519731281487,-1.20728601451896,-1.49956236321486,0.693644751556703,0.757111545237092,0.655674934957613,0.465957444881211,-1.60749574313866,-1.60123843085115,0.754267661042147,-1.29463384178012,-0.295531022303295,-1.39864376870337,-1.11710332838218,-1.46320722114678,-0.0734562694034394,0.0815000098825938,0.0101592021810793,-0.974617664326298,0.156978116218689,0.712450281893175,0.164881252784021,-0.46285853792725,-1.56333404337015,-0.13387268533884,-0.0417226234282623,-0.493202545198329,0.243708740667401,-0.585291397492439,0.129811737127964,-0.774465817177281,0.41312365978238,0.12986879041276,0.186264862943016,-1.27397548276394,0.86762690555784,0.141405384732508,0.798840485759736,-0.45858231590832,-1.43584957473063,-1.03128316908069,-0.693098040923198,-1.66774927073348,-0.723835633230973,-0.441404853413395
"160711-52","plasmaD21",0.704437477481081,-0.767342157544169,0.131364971412701,-0.0648949994241101,0.146512871561442,0.251746270425608,-0.409750950647439,0.514231561199397,0.580286952048157,-0.437082992561004,0.382984382898763,0.177675397764178,0.812987257862312,1.35730399288821,0.0831461444777303,0.0386816367884009,0.0578956032631646,0.145996263565515,0.488137948235092,-0.374874647153853,-0.585558292201937,1.14625929389385,0.245964637931078,0.0621946561929906,-0.0302489793954113,-0.506158633915807,0.0102560074036602,-0.409300477826644,0.52116959808272,-1.22127234327247,0.474590047013546,0.827367542059583,0.452527932653958,0.541111789688392,1.65358694819064,0.805996483886859,0.131771908682453,0.271058539238391,-0.789123753476708,0.520070866695834,1.24044343980626,-1.16124793492539,-0.0195454929818483,-1.07475174681991,-0.10284989544755,0.194264494750414,0.939794831225274,0.52154700419469,-0.0414998610521911,0.178266429915377,0.711525008764076,0.113320334221755,0.990493718243851,-0.071064439705228,-0.149297673173237,-0.879193106809645,0.733747908785604,0.600667470578103,0.497149991421011,0.0475112915233691,0.666480918999957,-0.905425645889874,-0.432570946093629,1.08698015324401,-0.291085830580251,0.290509574630471,1.21233968327998,0.583543301401413,1.07356265714771,-0.536404674509437,-0.529819332682646,1.06542025148882,0.531240561412567,0.898670598481542,0.0658639338956512,0.95738568397948,0.713700343629433,-0.116847280401812,0.506525673616818,1.40946689197194,1.12283893557776,0.347846171301339,-0.101098166748232,1.36526327912758,0.605618179080817,-0.928213074979853,-0.806639154137296,-0.486530116611497,-1.81430139574962,1.04397348288946,-0.0464763992199614,-1.2878383247487,-0.832942983977877,-1.34256392145478,0.53532994107255,-1.70815182908438,0.441684955039191,-1.4296953586898,-1.21217558794983,-1.01325644561908,0.605861348920962,0.331589670732858,-0.188620259009205,-0.451145543560415,-0.50602812888078,-0.040816027083559,0.926374349347746,0.0815000098825938,-0.205365880301075,-0.0500804917770875,-0.0725666592017377,0.648521071763341,-1.80633908566877,-1.01741997859543,0.82106460008527,-0.863422087345635,0.015614280211463,0.846101389277992,-0.931107266860643,-1.25552932403337,-0.705153141454492,-1.3280727913532,-0.250866337598161,0.00754501818089006,-0.435630090552695,-0.714357174207416,1.43976175254059,-0.691117593056779,0.291586846259696,-1.27109243421922,-1.86717993183394,-1.52274920760004,-1.3471251671446,-0.248449612826739,-0.0212701649191032,-1.30760990544632
"160711-58","plasmaD21",0.790565934897941,0.597843340127449,0.131364971412701,-0.0648949994241101,0.0625958486512175,0.172063383225784,1.02410830125635,0.638370143112682,0.918072414128453,0.251247565229022,-0.650932112967755,-1.29734912281289,0.282660953430677,0.552315742499774,0.259824990396865,-0.501238765995759,1.06520052933911,0.0617761159242374,-0.899812233326737,-0.134232664790324,-0.585558292201937,-0.0619550119774712,-0.0706108574416205,-0.142253196013301,1.2539477898678,-0.660534458543906,0.0102560074036602,0.935834071569259,0.279875105584227,0.40756315229203,-0.584785819384259,0.927726044173819,0.602879058771436,0.379728038555967,0.3077119888259,1.60574966380264,0.398624819030235,0.271058539238391,0.792040850773126,0.907041718365368,0.200356040270962,0.537088091002597,-0.0733011354936992,1.22142443045088,0.471601899462017,-0.0915254768090035,0.812106611953499,0.679023995212325,0.135410791626017,0.0566676073080942,0.711525008764076,0.269207629986055,1.13018706322301,-0.361744804190917,-0.526767855198489,-0.546181026952073,-0.194499818388843,0.872732913378867,1.07241870563334,-1.16089349769641,0.99657860967963,-1.25841902865143,-0.592666489807229,1.46403111756446,-0.188325303089821,-0.103281192819818,0.617487019783126,1.22399431774894,0.43782306060066,0.448355292540295,-0.253254970955946,0.686887743066077,0.701526315703095,0.976908412496268,-0.483584066694176,1.21959907047504,0.377635941197877,-0.433957044972166,0.6423452565668,0.620055181459311,1.8795635476613,-0.66785693317513,-0.374070275565649,0.42596228144012,1.23152352771184,-1.43015340635385,-1.72312514609941,-0.413248174860807,-0.22096389059066,1.24128468374287,0.174310659780442,0.807913609963608,-1.53543983709299,-1.18642352823742,1.02629376917379,0.830247775235383,0.655674934957613,-0.955234188180472,-0.338262456583697,-1.54413874676288,0.754267661042147,0.798765027370922,-0.625680033792162,-1.50006061376783,-1.71606027773814,-0.0875742335195145,-0.230004258720764,-0.0640245569075978,-0.205365880301075,-1.08480348372068,-0.254973655115773,0.534111227138971,1.1404206396603,-0.572220050082828,-0.156661096151108,-0.277742453311764,-1.32595626531168,-0.619052708075208,-2.1438553177532,-0.71746472902126,2.36943071346924,-0.883639105105135,0.282182442372416,0.00754501818089006,0.0636249397015648,-1.37532328775227,-1.29537231890727,-0.0227711430217517,0.69880824227143,-0.618812235740334,-1.5209094736565,-1.12820204083064,-0.822074544280808,-1.75754098797462,-0.449370987910667,-0.612223607441776
"160711-67","plasmaD21",1.10715158770592,-0.184464511102478,0.131364971412701,0.366808468917662,0.891358725574642,0.885467885591961,0.476035461116855,0.275576858117075,0.856740978174931,-0.798041064658943,0.0547955357543685,-0.399893091852833,0.67126614613859,0.252941463909289,0.259824990396865,0.867899230683346,0.543003120227105,1.11303772827093,0.37766576347702,0.338494995329045,-0.0267137879120673,0.350106433005721,0.735548880167417,0.861635045305162,0.0564616185237542,-1.00231460141385,-0.116471503058144,-0.409300477826644,0.396672173747865,-0.609115438102659,0.00492200730970132,-0.00418110676640613,0.92933249750222,-0.521306307445836,0.563814238618625,0.263955741482267,0.624119084678223,-0.0860212484598343,-0.635513939179989,1.05474974045264,0.535509880091015,-2.32893784426726,0.546051548967684,0.617933545960088,0.0204644503774711,1.6174237813247,0.939794831225274,0.961322469225729,-0.474971141463659,0.293746331967137,0.304975449596627,0.854039120456614,-3.27759684072352,-0.593201747476427,-0.604191275848809,-0.00303324003888081,0.733747908785604,0.166677123644375,0.60669179719699,-0.403093211604559,1.08052466849535,-1.25841902865143,-0.592666489807229,0.365828446273316,1.08010653900152,0.899178396696873,1.09573584355586,1.22399431774894,0.774935041240434,-0.0376646501557764,0.00180502807291214,0.852643695951122,0.445768023304542,1.05195140463224,0.0658639338956512,0.598845818567243,0.559783353076034,-0.116847280401812,0.828536030902613,1.0646076419157,-0.640870912586987,-1.82548014177429,0.0828997042026271,0.681462897717109,-0.130670040150927,-1.09272618484277,-0.663329134316397,-0.851480835051661,0.176928865572052,0.321208606314963,0.0653281368143562,-0.315636798400271,-0.320596524048798,-1.27312642682084,0.639531050804971,1.76077608512224,0.955666257977199,-0.650410259871787,-0.2646626150019,-0.874820561880258,-0.417144496503022,0.798765027370922,0.151055529980441,-1.23481448443584,-0.439862750771675,-1.28060706266637,-0.323159787618327,1.88994006238879,0.995438468765505,-0.796622934591432,-1.33524532019642,0.780351408661199,0.703893095029194,-0.286195398273544,0.82106460008527,0.0985352652314611,-1.08565779452373,-0.289903555804957,0.00958191335932606,-0.371777929489604,0.395801231048106,-0.598106735892677,0.624646764408204,-1.22287238421563,0.384378014998763,-1.11025772618448,-0.932463773184255,0.406616977721917,0.960433077640763,-0.199746093310044,-1.29844338395398,-0.87471993364661,-0.484748745310885,-1.52269927672689,0.254782089413622,-0.165463374518538
