"tissue.type"	"metabolite"	"Exercise"	"Weight"	"mean"	"sd"
"plasma"	"CDP"	"EX"	"ER"	0.1274033082552	0.554075223691013
"plasma"	"CDP"	"SED"	"AL"	0.282003337228901	0.73668561745117
"plasma"	"CDP"	"SED"	"ER"	0.212333086098043	0.707079692636161
"plasma"	"CDP-choline"	"EX"	"AL"	-0.397832562016899	0.401389904488827
"plasma"	"CDP-choline"	"EX"	"ER"	-0.457250733257433	1.13996121152797
"plasma"	"CDP-choline"	"SED"	"AL"	-0.448108242377922	0.491774133276782
"plasma"	"CDP-choline"	"SED"	"ER"	-0.360253548756787	0.650571119306851
"plasma"	"CDP-ethanolamine"	"EX"	"AL"	-0.777637473033206	0.463530499670962
"plasma"	"CDP-ethanolamine"	"EX"	"ER"	-0.565420321312936	0.77738283976706
"plasma"	"CDP-ethanolamine"	"SED"	"AL"	-1.00950208934424	0.552885208437309
"plasma"	"CDP-ethanolamine"	"SED"	"ER"	-0.794789008006487	1.07975762081812
"plasma"	"Chlorpropamide"	"EX"	"AL"	0.679435310117543	0.409542071650551
"plasma"	"Chlorpropamide"	"EX"	"ER"	0.254544277896623	1.30244223292435
"plasma"	"Chlorpropamide"	"SED"	"AL"	0.450144803079	0.437820739620697
"plasma"	"Chlorpropamide"	"SED"	"ER"	0.413729620970515	0.575946523717728
"plasma"	"Citraconic-acid"	"EX"	"AL"	0.291428587884462	0.712022509092724
"plasma"	"Citraconic-acid"	"EX"	"ER"	0.399308069512593	1.20347582318419
"plasma"	"Citraconic-acid"	"SED"	"AL"	0.520241881131743	0.916444899632399
"plasma"	"Citraconic-acid"	"SED"	"ER"	0.015568257096245	0.739238795962628
"plasma"	"Citrate-isocitrate"	"EX"	"AL"	0.113804525453951	1.64923318474546
"plasma"	"Citrate-isocitrate"	"EX"	"ER"	-0.462196956241312	1.75217148117724
"plasma"	"Citrate-isocitrate"	"SED"	"AL"	0.153331335434606	1.52243684809898
"plasma"	"Citrate-isocitrate"	"SED"	"ER"	-0.138489634757779	1.8992442206391
"plasma"	"Citrulline"	"EX"	"AL"	0.637954056504686	1.007641802907
"plasma"	"Citrulline"	"EX"	"ER"	0.456538625546298	0.903844622689527
"plasma"	"Citrulline"	"SED"	"AL"	0.861728017759	0.300701487423579
"plasma"	"Citrulline"	"SED"	"ER"	0.627354767600076	1.10238381655275
"plasma"	"CMP"	"EX"	"AL"	-0.561490633003683	0.865144929204288
"plasma"	"CMP"	"EX"	"ER"	0.171724450317733	1.00117787547384
"plasma"	"CMP"	"SED"	"AL"	-0.855632103496248	1.10442667531517
"plasma"	"CMP"	"SED"	"ER"	0.0571083818297839	0.757204882043043
"plasma"	"Cyclic-AMP"	"EX"	"AL"	0.351889171472578	0.646906094724887
"plasma"	"Cyclic-AMP"	"EX"	"ER"	0.491923650871188	1.16087492165741
"plasma"	"Cyclic-AMP"	"SED"	"AL"	0.352867401678104	0.606392014420577
"plasma"	"Cyclic-AMP"	"SED"	"ER"	0.018841198956047	0.636294330890928
"plasma"	"Cystathionine"	"EX"	"AL"	0.474632496901761	0.870325549450421
"plasma"	"Cystathionine"	"EX"	"ER"	0.392976346285955	0.757017645808159
"plasma"	"Cystathionine"	"SED"	"AL"	0.763299141717919	0.618435577354725
"plasma"	"Cystathionine"	"SED"	"ER"	0.667273523902459	0.689085682506966
"plasma"	"Cysteine"	"EX"	"AL"	-0.174188619329569	1.00505364864053
"plasma"	"Cysteine"	"EX"	"ER"	-0.19555745666741	0.924141455497234
"plasma"	"Cysteine"	"SED"	"AL"	0.122506592522929	1.1333136895536
"plasma"	"Cysteine"	"SED"	"ER"	-0.410585392139811	0.970376197715289
"plasma"	"D-Sedoheptulose-1-7-phosphate"	"EX"	"AL"	-0.832693377053745	0.726092014329193
"plasma"	"D-Sedoheptulose-1-7-phosphate"	"EX"	"ER"	-0.474602477963255	0.904067989441097
"plasma"	"D-Sedoheptulose-1-7-phosphate"	"SED"	"AL"	-1.11469042091117	0.684740651280526
"plasma"	"D-Sedoheptulose-1-7-phosphate"	"SED"	"ER"	-0.847862978444923	1.14019787740447
"plasma"	"dAMP"	"EX"	"AL"	-0.817000602782737	0.502315088266586
"plasma"	"dAMP"	"EX"	"ER"	-0.688368161309469	0.457015406332872
"plasma"	"dAMP"	"SED"	"AL"	-0.872841572773055	0.448545447023507
"plasma"	"dAMP"	"SED"	"ER"	-0.544929555619248	0.860178287066064
"plasma"	"dCMP"	"EX"	"AL"	-0.911072983176965	0.590900681781345
"plasma"	"dCMP"	"EX"	"ER"	-0.531712438057861	0.509582846006091
"plasma"	"dCMP"	"SED"	"AL"	-0.948716829873161	0.452007223993436
"plasma"	"dCMP"	"SED"	"ER"	-0.752782310310801	1.17777444254033
"plasma"	"Deoxyribose-phosphate"	"EX"	"AL"	-0.249109981245563	0.562411807260744
"plasma"	"Deoxyribose-phosphate"	"EX"	"ER"	-0.422314485478121	0.838906127816951
"plasma"	"Deoxyribose-phosphate"	"SED"	"AL"	-0.462047980350769	1.12507144625065
"plasma"	"Deoxyribose-phosphate"	"SED"	"ER"	-0.986072234498252	1.00302340333922
"plasma"	"Deoxyuridine"	"EX"	"AL"	0.67696793353656	0.879607168921179
"plasma"	"Deoxyuridine"	"EX"	"ER"	0.0596953046413243	1.01714181697036
"plasma"	"Deoxyuridine"	"SED"	"AL"	0.580263886195181	1.05720982396453
"plasma"	"Deoxyuridine"	"SED"	"ER"	0.449439059483406	0.567528473565196
"plasma"	"Dihydroxy-acetone-phosphate"	"EX"	"AL"	-0.78822749658633	1.04193155736694
"plasma"	"Dihydroxy-acetone-phosphate"	"EX"	"ER"	-0.586225294203243	0.875807547086313
"plasma"	"Dihydroxy-acetone-phosphate"	"SED"	"AL"	-0.801828670680188	0.806769984862678
"plasma"	"Dihydroxy-acetone-phosphate"	"SED"	"ER"	-0.433275124236481	1.34481480584568
"plasma"	"dTMP"	"EX"	"AL"	-0.900811306059541	0.769374539486731
"plasma"	"dTMP"	"EX"	"ER"	-0.491983240776027	0.846830012756707
"plasma"	"dTMP"	"SED"	"AL"	-0.498365013395453	0.770047647138925
"plasma"	"dTMP"	"SED"	"ER"	-0.695317206893359	0.998641004617164
"plasma"	"Erythrose-4-phosphate"	"EX"	"AL"	0.00271087967831532	0.617462409239472
"plasma"	"Erythrose-4-phosphate"	"EX"	"ER"	-0.0422957513908076	1.06961179871747
"plasma"	"Erythrose-4-phosphate"	"SED"	"AL"	0.204381319088995	0.829718147698296
"plasma"	"Erythrose-4-phosphate"	"SED"	"ER"	-0.189899534315132	0.532064571564341
"plasma"	"FAD"	"EX"	"AL"	-0.0799232099701483	0.74528813418697
"plasma"	"FAD"	"EX"	"ER"	-0.555895530935182	1.00285872926285
"plasma"	"FAD"	"SED"	"AL"	0.00909639535822303	0.794393603084164
"plasma"	"FAD"	"SED"	"ER"	-0.47127283844147	0.515980695845436
"plasma"	"FMN"	"EX"	"AL"	-0.211110684478871	1.13189843168154
"plasma"	"FMN"	"EX"	"ER"	-0.259587278660059	1.07373482037655
"plasma"	"FMN"	"SED"	"AL"	-0.376739039636225	1.15495391592711
"plasma"	"FMN"	"SED"	"ER"	-0.295630909414462	1.09512274861461
"plasma"	"Fructose-1-6-bisphosphate"	"EX"	"AL"	-1.14995423679446	1.08153398954761
"plasma"	"Fructose-1-6-bisphosphate"	"EX"	"ER"	-1.34358480840628	1.0867732808264
"plasma"	"Fructose-1-6-bisphosphate"	"SED"	"AL"	-0.698158220145639	0.886597445128878
"plasma"	"Fructose-1-6-bisphosphate"	"SED"	"ER"	-0.39570616534322	1.47489873913788
"plasma"	"Fructose-6-phosphate"	"EX"	"AL"	-0.926738086938682	0.605542208985503
"plasma"	"Fructose-6-phosphate"	"EX"	"ER"	-0.555525557976797	0.836446896629739
"plasma"	"Fructose-6-phosphate"	"SED"	"AL"	-0.87483486404782	0.575373757100174
"plasma"	"Fructose-6-phosphate"	"SED"	"ER"	-0.481747462057187	1.18852435197084
"plasma"	"Fumarate"	"EX"	"AL"	-0.767884602055945	1.08178028075882
"plasma"	"Fumarate"	"EX"	"ER"	0.100209302174628	0.518002523254065
"plasma"	"Fumarate"	"SED"	"AL"	-0.591283118539423	0.548829331438543
"plasma"	"Fumarate"	"SED"	"ER"	-0.471874313688115	1.07647529765053
"plasma"	"GDP"	"EX"	"AL"	0.232762702809578	0.307223689108829
"plasma"	"GDP"	"EX"	"ER"	0.142990723085041	0.882431679376581
"plasma"	"GDP"	"SED"	"AL"	0.194281715071134	0.37640374544546
"plasma"	"GDP"	"SED"	"ER"	0.207724242487867	0.50616376073466
"plasma"	"Glucarate"	"EX"	"AL"	0.604225202354013	1.12011543773493
"plasma"	"Glucarate"	"EX"	"ER"	-0.637387333718137	1.0558393092009
"plasma"	"Glucarate"	"SED"	"AL"	0.117756371234004	1.16793296045601
"plasma"	"Glucarate"	"SED"	"ER"	-0.0725195351725588	0.62148969305597
"plasma"	"Glucono-_-lactone"	"EX"	"AL"	0.602063734529784	0.761319031223748
"plasma"	"Glucono-_-lactone"	"EX"	"ER"	0.599701521469316	0.714859089343053
"plasma"	"Glucono-_-lactone"	"SED"	"AL"	0.577152891496438	0.65491032152881
"plasma"	"Glucono-_-lactone"	"SED"	"ER"	0.320857664465691	0.624762226321769
"plasma"	"Glucosamine-1-6-phosphate"	"EX"	"AL"	-0.377343701471539	0.599841659326604
"plasma"	"Glucosamine-1-6-phosphate"	"EX"	"ER"	-0.0388053527716077	1.31435754473151
"plasma"	"Glucosamine-1-6-phosphate"	"SED"	"AL"	0.0936309902394585	1.03437612504847
"plasma"	"Glucosamine-1-6-phosphate"	"SED"	"ER"	-0.0683952636718492	0.971350519778942
"plasma"	"Glucose"	"EX"	"AL"	0.607683913730366	1.48764292996078
"plasma"	"Glucose"	"EX"	"ER"	0.663280014514684	0.713109774291705
"plasma"	"Glucose"	"SED"	"AL"	1.13772482382908	0.275373432796579
"plasma"	"Glucose"	"SED"	"ER"	1.01549606315096	0.961893759003824
"plasma"	"Glucose-1-6-phosphate"	"EX"	"AL"	-0.867424363232985	0.482041853798831
"plasma"	"Glucose-1-6-phosphate"	"EX"	"ER"	-0.680125807400694	0.588922424335304
"plasma"	"Glucose-1-6-phosphate"	"SED"	"AL"	-0.919199694801422	0.406171430864457
"plasma"	"Glucose-1-6-phosphate"	"SED"	"ER"	-0.594250153266688	1.07902083654447
"plasma"	"Glutamine"	"EX"	"AL"	0.483739554093833	1.51543790023334
"plasma"	"Glutamine"	"EX"	"ER"	0.514358763113872	0.793662673873823
"plasma"	"Glutamine"	"SED"	"AL"	0.968894838089115	0.256596057893362
"plasma"	"Glutamine"	"SED"	"ER"	0.5566380682344	0.869764526686197
"plasma"	"Glutathione"	"EX"	"AL"	-1.12684748750593	0.326980021194629
"plasma"	"Glutathione"	"EX"	"ER"	-0.640349378348502	0.604872230542214
"plasma"	"Glutathione"	"SED"	"AL"	-1.00758906413109	0.437851752468696
"plasma"	"Glutathione"	"SED"	"ER"	-0.612311921615746	0.860956434019104
"plasma"	"Glutathione-disulfide"	"EX"	"AL"	-0.957955915435025	0.984938751480225
"plasma"	"Glutathione-disulfide"	"EX"	"ER"	-0.867325463561869	1.15457137556611
"plasma"	"Glutathione-disulfide"	"SED"	"AL"	-0.592990308742185	0.820878303824238
"plasma"	"Glutathione-disulfide"	"SED"	"ER"	-0.368558377097437	1.17713658914231
"plasma"	"Glyceraldehdye-3-phosphate"	"EX"	"AL"	-0.37942712939398	0.896881806180687
"plasma"	"Glyceraldehdye-3-phosphate"	"EX"	"ER"	0.109728644034559	1.27101740236832
"plasma"	"Glyceraldehdye-3-phosphate"	"SED"	"AL"	-0.37239419379268	0.740150313451372
"plasma"	"Glyceraldehdye-3-phosphate"	"SED"	"ER"	-0.138344117419833	0.57553653785493
"plasma"	"Glycerate"	"EX"	"AL"	0.152416782530649	1.01920385941494
"plasma"	"Glycerate"	"EX"	"ER"	0.434016510792063	0.612392484432228
"plasma"	"Glycerate"	"SED"	"AL"	0.398699490640794	0.325085814027857
"plasma"	"Glycerate"	"SED"	"ER"	0.418018482579765	0.394397016711882
"plasma"	"GMP"	"EX"	"AL"	-0.385877774191901	1.1544004341428
"plasma"	"GMP"	"EX"	"ER"	0.0658627748871991	1.32111271541317
